range,color
"R","#1b9e77"
"K","#d95f02"
"O","#7570b3"
"M","#e7298a"
"H","#66a61e"
"Z","#e6ab02"
"RK","#a6761d"
"RO","#666666"
"KO","#66c2a5"
"RM","#fc8d62"
"KM","#8da0cb"
"OM","#e78ac3"
"RH","#a6d854"
"KH","#ffd92f"
"OH","#e5c494"
"MH","#b3b3b3"
"RZ","#e41a1c"
"KZ","#377eb8"
"OZ","#4daf4a"
"MZ","#984ea3"
"HZ","#ff7f00"
"KOM","#bb0000"
"KOH","#00bb00"
"KMH","#0000bb"
"OMH","#bbbb00"
"KOMH","#b00bb0"
