#RevBayes version (1.0.2)
#Build from development (bd7075) on Sun Sep 25 19:04:16 PDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
33	5.46054	-0.309513	5.77005	0.0639316	0.0100776	0.00673832	0.00673832	0.00673832	0.00673832	0.00673832	0.00673832	0.166269	0.166269	0.166269	0.737859	0.19821
34	4.38091	-0.409313	4.79022	0.0639316	0.018564	0.0465397	0.0465397	0.0465397	0.0465397	0.0465397	0.0465397	0.215965	0.215965	0.215965	0.737859	0.19821
35	5.14278	-0.238529	5.38131	0.19821	0.0395637	0.154149	0.154149	0.154149	0.154149	0.154149	0.154149	0.0282472	0.0282472	0.0282472	0.737859	0.0639316
36	3.96689	-0.506993	4.47388	0.19821	0.0654421	0.154149	0.154149	0.154149	0.154149	0.154149	0.154149	0.0931114	0.0931114	0.0931114	0.0639316	0.737859
37	4.95387	-0.567494	5.52136	0.0639316	0.0473744	0.0656407	0.0656407	0.0656407	0.0656407	0.0656407	0.0656407	0.0949392	0.0949392	0.0949392	0.19821	0.737859
38	6.37275	-0.180705	6.55346	0.737859	0.00287348	0.0169904	0.0169904	0.0169904	0.0169904	0.0169904	0.0169904	0.0848808	0.0848808	0.0848808	0.0639316	0.19821
39	6.43595	-0.18582	6.62177	0.0639316	0.00472119	0.0296637	0.0296637	0.0296637	0.0296637	0.0296637	0.0296637	0.0635286	0.0635286	0.0635286	0.19821	0.737859
40	6.84413	-0.206025	7.05015	0.19821	0.00472119	0.00859381	0.00859381	0.00859381	0.00859381	0.00859381	0.00859381	0.0417599	0.0417599	0.0417599	0.737859	0.0639316
41	5.75517	-0.164921	5.9201	0.0639316	0.0835575	0.0820466	0.0820466	0.0820466	0.0820466	0.0820466	0.0820466	0.00247654	0.00247654	0.00247654	0.19821	0.737859
42	6.99168	-0.198802	7.19048	0.0639316	0.011508	0.0190297	0.0190297	0.0190297	0.0190297	0.0190297	0.0190297	0.0105043	0.0105043	0.0105043	0.19821	0.737859
43	5.72124	-0.62098	6.34222	0.0639316	0.0343931	0.0191526	0.0191526	0.0191526	0.0191526	0.0191526	0.0191526	0.0723229	0.0723229	0.0723229	0.737859	0.19821
44	5.86028	-1.10617	6.96645	0.0639316	0.0565437	0.000383017	0.000383017	0.000383017	0.000383017	0.000383017	0.000383017	0.0065183	0.0065183	0.0065183	0.737859	0.19821
45	4.89501	-0.185601	5.08061	0.0639316	0.0293132	0.199421	0.199421	0.199421	0.199421	0.199421	0.199421	0.0232951	0.0232951	0.0232951	0.737859	0.19821
46	3.64238	-0.886389	4.52877	0.737859	0.0908852	0.11701	0.11701	0.11701	0.11701	0.11701	0.11701	0.0993184	0.0993184	0.0993184	0.19821	0.0639316
47	2.05246	-1.44459	3.49705	0.19821	0.11379	0.0986178	0.0986178	0.0986178	0.0986178	0.0986178	0.0986178	0.197978	0.197978	0.197978	0.737859	0.0639316
48	1.95379	-1.00154	2.95533	0.0639316	0.318175	0.10522	0.10522	0.10522	0.10522	0.10522	0.10522	0.0411619	0.0411619	0.0411619	0.19821	0.737859
49	2.70433	-0.169922	2.87425	0.0639316	0.168027	0.298291	0.298291	0.298291	0.298291	0.298291	0.298291	0.00634707	0.00634707	0.00634707	0.19821	0.737859
50	0.34	-0.242239	0.582239	0.19821	0.227158	0.451651	0.451651	0.451651	0.451651	0.451651	0.451651	0.0230568	0.0230568	0.0230568	0.0639316	0.737859
51	4.76979	-0.794588	5.56437	0.19821	0.138516	0.0420801	0.0420801	0.0420801	0.0420801	0.0420801	0.0420801	0.0230568	0.0230568	0.0230568	0.0639316	0.737859
52	1.56281	-1.23583	2.79865	0.737859	0.138516	0.185517	0.185517	0.185517	0.185517	0.185517	0.185517	0.156192	0.156192	0.156192	0.0639316	0.19821
53	4.64171	-0.302441	4.94415	0.19821	0.0105368	0.0139055	0.0139055	0.0139055	0.0139055	0.0139055	0.0139055	0.241233	0.241233	0.241233	0.0639316	0.737859
54	6.27507	-0.31144	6.58651	0.737859	0.0133503	0.0278747	0.0278747	0.0278747	0.0278747	0.0278747	0.0278747	0.0602144	0.0602144	0.0602144	0.19821	0.0639316
55	2.91191	-1.94023	4.85214	0.19821	0.166496	0.0317013	0.0317013	0.0317013	0.0317013	0.0317013	0.0317013	0.0766788	0.0766788	0.0766788	0.0639316	0.737859
56	3.4596	-1.61713	5.07673	0.0639316	0.169871	0.0315675	0.0315675	0.0315675	0.0315675	0.0315675	0.0315675	0.0509781	0.0509781	0.0509781	0.19821	0.737859
57	3.76697	-0.195484	3.96245	0.0639316	0.22975	0.130149	0.130149	0.130149	0.130149	0.130149	0.130149	0.00394607	0.00394607	0.00394607	0.19821	0.737859
58	2.1265	-0.2479	2.3744	0.19821	0.274676	0.236494	0.236494	0.236494	0.236494	0.236494	0.236494	0.0114803	0.0114803	0.0114803	0.0639316	0.737859
59	5.94402	-0.417551	6.36157	0.0639316	0.044876	0.0495708	0.0495708	0.0495708	0.0495708	0.0495708	0.0495708	0.0294863	0.0294863	0.0294863	0.737859	0.19821
60	4.62206	-0.392867	5.01492	0.19821	0.018233	0.0375249	0.0375249	0.0375249	0.0375249	0.0375249	0.0375249	0.20284	0.20284	0.20284	0.0639316	0.737859
61	4.33792	-0.477599	4.81552	0.737859	0.0436078	0.136219	0.136219	0.136219	0.136219	0.136219	0.136219	0.0987118	0.0987118	0.0987118	0.19821	0.0639316
62	5.38075	-0.708067	6.08882	0.19821	0.0436078	0.0293898	0.0293898	0.0293898	0.0293898	0.0293898	0.0293898	0.0782111	0.0782111	0.0782111	0.737859	0.0639316
63	5.19495	-1.02475	6.2197	0.19821	0.0526466	0.00726245	0.00726245	0.00726245	0.00726245	0.00726245	0.00726245	0.0782111	0.0782111	0.0782111	0.737859	0.0639316
64	4.42445	-0.152441	4.57689	0.0639316	0.0427447	0.251652	0.251652	0.251652	0.251652	0.251652	0.251652	0.00800483	0.00800483	0.00800483	0.19821	0.737859
65	5.32775	-0.14272	5.47047	0.19821	0.0427447	0.168115	0.168115	0.168115	0.168115	0.168115	0.168115	0.00218347	0.00218347	0.00218347	0.737859	0.0639316
66	4.70017	-0.203861	4.90403	0.737859	0.0103014	0.168115	0.168115	0.168115	0.168115	0.168115	0.168115	0.091271	0.091271	0.091271	0.19821	0.0639316
67	5.906	-0.269797	6.17579	0.19821	0.0347839	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.0268447	0.0268447	0.0268447	0.0639316	0.737859
68	5.92698	-0.270539	6.19752	0.0639316	0.0360596	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.0233964	0.0233964	0.0233964	0.737859	0.19821
69	3.8356	-0.941277	4.77688	0.19821	0.146575	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.0808824	0.054945	0.054945	0.054945	0.0639316	0.737859
70	1.75757	-0.140497	1.89806	0.737859	0.00367999	0.511659	0.511659	0.511659	0.511659	0.511659	0.511659	0.054945	0.054945	0.054945	0.19821	0.0639316
71	5.981	-0.265166	6.24617	0.0639316	0.0177749	0.0627535	0.0627535	0.0627535	0.0627535	0.0627535	0.0627535	0.054945	0.054945	0.054945	0.19821	0.737859
72	6.39409	-0.251545	6.64563	0.737859	0.0483933	0.0408197	0.0408197	0.0408197	0.0408197	0.0408197	0.0408197	0.00631417	0.00631417	0.00631417	0.19821	0.0639316
73	2.92223	-0.17741	3.09964	0.737859	0.0191495	0.379378	0.379378	0.379378	0.379378	0.379378	0.379378	0.0515988	0.0515988	0.0515988	0.0639316	0.19821
74	4.66055	-1.16963	5.83019	0.19821	0.0665277	0.00864231	0.00864231	0.00864231	0.00864231	0.00864231	0.00864231	0.101901	0.101901	0.101901	0.0639316	0.737859
75	5.46865	-0.491074	5.95972	0.0639316	0.0268861	0.0353303	0.0353303	0.0353303	0.0353303	0.0353303	0.0353303	0.101901	0.101901	0.101901	0.737859	0.19821
76	2.63628	-2.17685	4.81313	0.0639316	0.154131	0.0283143	0.0283143	0.0283143	0.0283143	0.0283143	0.0283143	0.0963322	0.0963322	0.0963322	0.737859	0.19821
77	6.8665	-0.219808	7.08631	0.0639316	0.0228844	0.0223662	0.0223662	0.0223662	0.0223662	0.0223662	0.0223662	0.00620856	0.00620856	0.00620856	0.737859	0.19821
78	6.47911	-0.260786	6.7399	0.0639316	0.0146438	0.0326519	0.0326519	0.0326519	0.0326519	0.0326519	0.0326519	0.0388046	0.0388046	0.0388046	0.19821	0.737859
79	2.24851	-2.00077	4.24929	0.0639316	0.197153	0.0464459	0.0464459	0.0464459	0.0464459	0.0464459	0.0464459	0.0915626	0.0915626	0.0915626	0.19821	0.737859
80	7.07716	-0.312629	7.38979	0.737859	0.0153513	0.00231542	0.00231542	0.00231542	0.00231542	0.00231542	0.00231542	0.00344434	0.00344434	0.00344434	0.0639316	0.19821
81	5.72445	-0.391065	6.11552	0.737859	0.0574212	0.0686334	0.0686334	0.0686334	0.0686334	0.0686334	0.0686334	0.0224842	0.0224842	0.0224842	0.19821	0.0639316
82	5.19535	-0.340427	5.53578	0.737859	0.0914812	0.0998775	0.0998775	0.0998775	0.0998775	0.0998775	0.0998775	0.0151535	0.0151535	0.0151535	0.0639316	0.19821
83	4.71933	-1.1154	5.83472	0.737859	0.0914812	0.0355117	0.0355117	0.0355117	0.0355117	0.0355117	0.0355117	0.0496249	0.0496249	0.0496249	0.19821	0.0639316
84	4.21831	-0.356898	4.57521	0.19821	0.0631717	0.188234	0.188234	0.188234	0.188234	0.188234	0.188234	0.0511637	0.0511637	0.0511637	0.737859	0.0639316
85	3.65857	-0.789269	4.44784	0.737859	0.140305	0.125457	0.125457	0.125457	0.125457	0.125457	0.125457	0.0495447	0.0495447	0.0495447	0.19821	0.0639316
86	3.21769	-0.204663	3.42236	0.19821	0.0377567	0.338273	0.338273	0.338273	0.338273	0.338273	0.338273	0.0418249	0.0418249	0.0418249	0.737859	0.0639316
87	1.14787	-0.611819	1.75969	0.0639316	0.11073	0.338273	0.338273	0.338273	0.338273	0.338273	0.338273	0.135118	0.135118	0.135118	0.737859	0.19821
88	5.06565	-0.444782	5.51044	0.737859	0.0503401	0.105665	0.105665	0.105665	0.105665	0.105665	0.105665	0.0530411	0.0530411	0.0530411	0.19821	0.0639316
89	2.59616	-0.194454	2.79061	0.19821	0.0102751	0.302935	0.302935	0.302935	0.302935	0.302935	0.302935	0.167819	0.167819	0.167819	0.0639316	0.737859
90	2.70175	-0.207585	2.90933	0.19821	0.0210467	0.350507	0.350507	0.350507	0.350507	0.350507	0.350507	0.097603	0.097603	0.097603	0.0639316	0.737859
91	5.80561	-0.782101	6.58771	0.0639316	0.0581789	0.0154551	0.0154551	0.0154551	0.0154551	0.0154551	0.0154551	0.0276848	0.0276848	0.0276848	0.737859	0.19821
92	5.1627	-0.1748	5.3375	0.0639316	0.00260105	0.0280871	0.0280871	0.0280871	0.0280871	0.0280871	0.0280871	0.195652	0.195652	0.195652	0.737859	0.19821
93	5.39442	-0.140695	5.53512	0.19821	0.02323	0.180126	0.180126	0.180126	0.180126	0.180126	0.180126	0.0032229	0.0032229	0.0032229	0.737859	0.0639316
