#RevBayes version (1.0.2)
#Build from development (ac3593) on Mon Oct 17 10:49:29 CDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][1][1]	d[1][1][2]	d[1][1][3]	d[1][2][1]	d[1][2][2]	d[1][2][3]	d[1][3][1]	d[1][3][2]	d[1][3][3]	d[2][1][1]	d[2][1][2]	d[2][1][3]	d[2][2][1]	d[2][2][2]	d[2][2][3]	d[2][3][1]	d[2][3][2]	d[2][3][3]	e[1][1]	e[1][2]	e[1][3]	e[2][1]	e[2][2]	e[2][3]	rates[1]	rates[2]	subset_sympatry	widespread_sympatry
19	28.9854	-0.154151	29.1396	0.99625	0.0327285	0	0.207005	0	0.00343607	0	0	0.000625831	0.0785036	0	0	0.244103	0	0.00229186	0	0	0.00159917	0.00844381	0	0.00744762	0.0124419	0.0200678	0.00108295	0.00467801	0.00510842	1.52543	0.302406	0.00374639	3.6846e-06
20	24.7388	-0.154151	24.893	0.941489	0.0731302	0	0.207005	0	0.00237118	0	0	0.000625831	0.131371	0	0	0.459605	0	0.0016931	0	0	0.00106752	0.00739447	0	0.00982085	0.00834528	0.0225101	0.00147205	0.00472446	0.00820426	1.52543	0.68388	0.0584927	1.88162e-05
21	23.0095	-0.154151	23.1636	0.685695	0.0458462	0	0.25149	0	0.00194226	0	0	0.00101128	0.165366	0	0	0.459605	0	0.0028665	0	0	0.00105043	0.00795192	0	0.00982085	0.00641673	0.0144934	0.00147205	0.00472446	0.00610002	2.14423	1.36528	0.31415	0.000155542
22	22.1725	-0.154151	22.3266	0.572994	0.0725092	0	0.42735	0	0.00328101	0	0	0.00154255	0.120758	0	0	0.283868	0	0.00301949	0	0	0.000895045	0.0130695	0	0.00946717	0.00791164	0.0144934	0.000995771	0.00364407	0.00928407	1.93265	1.09868	0.425993	0.00101275
23	26.0859	-0.154151	26.2401	0.97852	0.0937281	0	0.266029	0	0.00505032	0	0	0.00197157	0.182264	0	0	0.176006	0	0.00480742	0	0	0.00117348	0.0099831	0	0.00442434	0.00554275	0.0122043	0.00133104	0.00234773	0.00645918	1.31161	0.816098	0.0214084	7.14191e-05
24	25.2289	-0.154151	25.3831	0.978476	0.0846377	0	0.200838	0	0.00729559	0	0	0.00231636	0.141288	0	0	0.248969	0	0.00327476	0	0	0.00117348	0.0140899	0	0.00266033	0.00354457	0.0237397	0.00141517	0.00237437	0.00582712	1.31161	1.96131	0.0214074	0.000116143
25	25.3788	-0.154151	25.5329	0.977335	0.0947422	0	0.238325	0	0.00907748	0	0	0.00299918	0.141288	0	0	0.201143	0	0.00137909	0	0	0.0016993	0.00905734	0	0.00266033	0.00287782	0.0134444	0.00141517	0.00237418	0.00313286	1.31161	1.96131	0.0213824	0.00128302
26	26.6693	-0.154151	26.8235	0.917947	0.0459411	0	0.238325	0	0.00605162	0	0	0.00468186	0.149665	0	0	0.201143	0	0.00093366	0	0	0.00296822	0.0121382	0	0.00200571	0.00156941	0.0119623	0.00121406	0.0014906	0.00277764	1.17607	1.96131	0.0628345	0.0192185
27	24.1246	-0.154151	24.2787	0.781135	0.0257639	0	0.191646	0	0.0106492	0	0	0.00303157	0.149665	0	0	0.329796	0	0.00093366	0	0	0.0025788	0.0120238	0	0.00141918	0.00189217	0.0155909	0.00142869	0.0014906	0.00821921	1.47748	1.96131	0.20251	0.0163542
28	20.546	-0.154151	20.7001	0.782729	0.0369637	0	0.405006	0	0.0170826	0	0	0.00172252	0.229853	0	0	0.372462	0	0.0010232	0	0	0.00412704	0.0120238	0	0.00152623	0.0026724	0.0171187	0.00222065	0.00194589	0.00568054	1.12012	1.96131	0.184649	0.0326223
29	23.9283	-0.154151	24.0825	0.52687	0.0625839	0	0.274369	0	0.0113143	0	0	0.00233069	0.120984	0	0	0.240125	0	0.0025947	0	0	0.0056474	0.019125	0	0.00246362	0.00284951	0.0105951	0.00227922	0.00182498	0.00568054	0.50018	1.45374	0.407781	0.0653483
30	25.0783	-0.154151	25.2325	0.969907	0.0517471	0	0.236214	0	0.0168087	0	0	0.00154481	0.120984	0	0	0.170371	0	0.00326313	0	0	0.00647744	0.019125	0	0.00276705	0.00142623	0.0105951	0.00178722	0.00259052	0.0117771	0.473858	1.29428	0.00389355	0.0261997
31	23.9545	-0.154151	24.1087	0.433916	0.0170276	0	0.295136	0	0.0121324	0	0	0.00154481	0.142519	0	0	0.139251	0	0.00483609	0	0	0.00647744	0.019125	0	0.00276705	0.00149022	0.015073	0.00398709	0.00362676	0.0165923	0.356078	1.00381	0.0480512	0.518032
32	24.7078	-0.154151	24.862	0.266448	0.022988	0	0.387336	0	0.0114413	0	0	0.00156686	0.114257	0	0	0.0735237	0	0.00323604	0	0	0.00647744	0.0120331	0	0.00243045	0.00131825	0.0207265	0.00457519	0.00362676	0.0147668	0.298098	0.531153	0.415452	0.3181
33	27.5531	-0.154151	27.7073	0.198474	0.010893	0	0.219891	0	0.00588711	0	0	0.000915415	0.0563218	0	0	0.0409498	0	0.00290245	0	0	0.00391581	0.0121876	0	0.00210816	0.00323543	0.0207265	0.00582085	0.00362676	0.0147668	0.322678	0.235467	0.3427	0.458825
34	26.2043	-0.154151	26.3584	0.338267	0.0250837	0	0.219891	0	0.00515532	0	0	0.000915415	0.0459273	0	0	0.0527073	0	0.00449767	0	0	0.00500075	0.0101721	0	0.00140405	0.00139606	0.0235696	0.00892935	0.00521971	0.0211004	0.22586	0.246692	0.0207354	0.640998
35	25.182	-0.154151	25.3361	0.178312	0.0433377	0	0.203585	0	0.00399873	0	0	0.000742551	0.0459273	0	0	0.11793	0	0.00754564	0	0	0.00268122	0.0150878	0	0.00140405	0.00139606	0.0205278	0.00983761	0.00827874	0.0220597	0.22586	0.18683	0.00476919	0.816919
36	25.936	-0.154151	26.0902	0.273503	0.0513946	0	0.153974	0	0.00540415	0	0	0.0013559	0.0459273	0	0	0.0321023	0	0.0124486	0	0	0.00174173	0.00978494	0	0.00140405	0.00184413	0.0286823	0.0132521	0.00712097	0.0211698	0.283374	0.18683	0.00146436	0.725032
37	25.5681	-0.154151	25.7222	0.0815459	0.0917003	0	0.207362	0	0.00297801	0	0	0.000812666	0.0558528	0	0	0.0367841	0	0.00964749	0	0	0.00174173	0.01024	0	0.00174184	0.00184413	0.0197696	0.0169061	0.00447365	0.0350776	0.283374	0.209825	0.000822618	0.917631
38	24.9865	-0.154151	25.1406	0.217947	0.0650557	0	0.275023	0	0.00416892	0	0	0.00115286	0.0472252	0	0	0.0533092	0	0.0118758	0	0	0.00296736	0.0120977	0	0.00233435	0.000980193	0.0197696	0.0169061	0.00597054	0.0285947	0.283374	0.141173	0.000700449	0.781352
39	24.4002	-0.154151	24.5544	0.0193324	0.0683161	0	0.275023	0	0.00785218	0	0	0.00114328	0.0472252	0	0	0.0422128	0	0.0118758	0	0	0.00327495	0.0162799	0	0.00233435	0.000762441	0.0122768	0.0161881	0.0074362	0.0409591	0.179658	0.145814	0.00273259	0.977935
40	27.2513	-0.154151	27.4054	0.0712668	0.0492035	0	0.226565	0	0.00568031	0	0	0.00114328	0.0557021	0	0	0.0485602	0	0.00553086	0	0	0.00392149	0.0129391	0	0.00233435	0.000622094	0.0177104	0.0141733	0.00457368	0.0302214	0.179658	0.187213	0.00114684	0.927586
41	27.6761	-0.154151	27.8303	0.604236	0.0546649	0	0.38862	0	0.00384557	0	0	0.00101595	0.0941404	0	0	0.0485602	0	0.00427089	0	0	0.00392149	0.0170214	0	0.00233435	0.000902278	0.0182979	0.0132849	0.00365599	0.0119696	0.263067	0.190105	0.000494099	0.39527
42	27.3013	-0.154151	27.4555	0.731159	0.102847	0	0.362999	0	0.00572327	0	0	0.000863984	0.093562	0	0	0.0399553	0	0.00236385	0	0	0.00544923	0.0149752	0	0.00368933	0.00111724	0.0191086	0.0174638	0.00313738	0.00855684	0.263067	0.238513	0.000209314	0.268631
43	28.8549	-0.154151	29.009	0.0874462	0.0704066	0	0.362999	0	0.00319827	0	0	0.00136607	0.106824	0	0	0.0284096	0	0.00381966	0	0	0.00454369	0.0221895	0	0.00206596	0.00154575	0.0189018	0.00617826	0.00398521	0.00583439	0.249157	0.304951	0.000165736	0.912388
