Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
35	-1614.01	-50.3055	-1563.71	0.386216	0.00446382	0.0252428	0.508003	0.000981871	0.103501	0.0323206	0.000667511	0.0353677	0.0541501	0.260663	0.739337
36	-1615.89	-52.3441	-1563.55	0.519881	0.00295516	0.0252428	0.360411	0.0010889	0.122653	0.0323206	0.000667511	0.0313003	0.0541501	0.167893	0.832107
37	-1612.58	-50.3875	-1562.19	0.332198	0.00391358	0.0252428	0.42542	0.0010889	0.122653	0.0323206	0.000667511	0.0150851	0.0671412	0.130315	0.869685
38	-1610.11	-49.4813	-1560.62	0.317611	0.00391358	0.0289938	0.297953	0.00116291	0.0917006	0.024965	0.000968467	0.0171072	0.0671412	0.201253	0.798747
39	-1609.84	-48.9977	-1560.85	0.329094	0.00436183	0.045506	0.297953	0.000922064	0.0904038	0.024965	0.00110894	0.0122276	0.0671412	0.201253	0.798747
40	-1612.04	-50.3525	-1561.69	0.480088	0.00436183	0.0306072	0.251598	0.000922064	0.0904038	0.0268713	0.00123285	0.0122276	0.0599046	0.201253	0.798747
41	-1609.42	-49.4006	-1560.01	0.287944	0.00436183	0.0365197	0.274673	0.000649742	0.0586996	0.0268713	0.00183572	0.0085813	0.0904335	0.201253	0.798747
42	-1609.91	-48.1342	-1561.77	0.370279	0.00544593	0.0333935	0.398273	0.000796762	0.0241293	0.0268713	0.00146219	0.0085813	0.0991127	0.191083	0.808917
43	-1610.52	-49.0163	-1561.51	0.285461	0.0123801	0.0333935	0.398273	0.00131975	0.0303479	0.0177149	0.00247792	0.0085813	0.151788	0.191083	0.808917
44	-1611.79	-49.4735	-1562.32	0.357533	0.0114652	0.0333935	0.398273	0.0017527	0.0446613	0.0153131	0.00247792	0.00641939	0.151788	0.191083	0.808917
45	-1610.46	-49.9864	-1560.47	0.238654	0.0114652	0.0333935	0.398273	0.0017527	0.0152827	0.0111792	0.00436363	0.00577716	0.113353	0.216805	0.783195
46	-1607.79	-48.092	-1559.7	0.308562	0.0164014	0.0345976	0.262178	0.00122201	0.0102971	0.00906716	0.00436363	0.00577716	0.113353	0.168928	0.831072
47	-1607.26	-47.5358	-1559.72	0.320795	0.0134454	0.0345976	0.262178	0.00122201	0.00843427	0.00906716	0.0082478	0.00577716	0.100274	0.187472	0.812528
48	-1607.33	-47.8795	-1559.45	0.331909	0.00728351	0.0345976	0.213976	0.00144505	0.00843427	0.0163043	0.0169164	0.00865704	0.100274	0.174046	0.825954
49	-1609.06	-47.9851	-1561.07	0.486409	0.0108209	0.0404677	0.213976	0.00198328	0.00843427	0.0128562	0.0153701	0.00865704	0.102928	0.174046	0.825954
50	-1606.31	-47.1101	-1559.2	0.406937	0.00667982	0.0404677	0.200135	0.00264869	0.00843427	0.00638483	0.0153701	0.00696614	0.112679	0.0232068	0.976793
51	-1605.02	-47.6578	-1557.37	0.278824	0.00667982	0.0404677	0.153611	0.00324857	0.00743417	0.00783436	0.00970513	0.00696614	0.108893	0.0232068	0.976793
52	-1606.52	-48.418	-1558.1	0.238789	0.00552008	0.0404677	0.198654	0.00324857	0.00830283	0.0102301	0.00970513	0.00696614	0.108893	0.0947814	0.905219
53	-1607.48	-47.805	-1559.68	0.392344	0.00900386	0.0404677	0.197843	0.00324857	0.0084003	0.013444	0.00857219	0.0081648	0.108893	0.0908024	0.909198
54	-1606.24	-47.8555	-1558.38	0.256728	0.00610494	0.0499448	0.197843	0.00850949	0.0084003	0.00951281	0.00797209	0.00658378	0.108893	0.0908024	0.909198
55	-1605.87	-47.1603	-1558.71	0.279799	0.00610494	0.0703478	0.197843	0.0135118	0.020458	0.00720076	0.00797209	0.00681603	0.0821508	0.0937667	0.906233
56	-1605.35	-46.5568	-1558.79	0.326539	0.00781185	0.0520607	0.179463	0.0175274	0.0158272	0.00455464	0.00797209	0.0063693	0.0821508	0.0937667	0.906233
