Genus;;;;;
Malagidris;Malagidris;;;;
Manica;Manica;;;;
Martialis;Martialis;;;;
Mayaponera;Mayaponera;;;;
Mayriella;Mayriella;;;;
Megalomyrmex;Megalomyrmex;;;;
Megaponera;Megaponera;;;;
Melissotarsus;Melissotarsus;;;;
Melophorus;Melophorus;;;;
Meranoplus;Meranoplus;;;;
Mesoponera;Mesoponera;;;;
Mesostruma;Mesostruma;;;;
Messor;Messor;;;;
;Metapolybia;;;;
Metapone;Metapone;;;;
Microdaceton;Microdaceton;;;;
;Mischocyttarus;;;;
Monomorium;Monomorium;;;;
Mycetagroicus;Mycetagroicus;;;;
Mycetarotes;Mycetarotes;;;;
Mycetophylax;Mycetophylax;;;;
Mycetosoritis;Mycetosoritis;;;;
Mycocepurus;Mycocepurus;;;;
Myopias;Myopias;;;;
Myopopone;Myopopone;;;;
Myrcidris;Myrcidris;;;;
Myrmecia;Myrmecia;;;;
Myrmecina;Myrmecina;;;;
Myrmecocystus;Myrmecocystus;;;;
Myrmecorhynchus;Myrmecorhynchus;;;;
Myrmelachista;Myrmelachista;;;;
Myrmica;Myrmica;;;;
Myrmicaria;Myrmicaria;;;;
Myrmicocrypta;Myrmicocrypta;;;;
Myrmisaraka;Myrmisaraka;;;;
Myrmoteras;Myrmoteras;;;;
Mystrium;Mystrium;;;;
Nebothriomyrmex;Nebothriomyrmex;;;;
Neivamyrmex;Neivamyrmex;;;;
Neoponera;Neoponera;;;;
Nesomyrmex;Nesomyrmex;;;;
Nomamyrmex;Nomamyrmex;;;;
Nothomyrmecia;Nothomyrmecia;;;;
Notoncus;Notoncus;;;;
Notostigma;Notostigma;;;;
Novomessor;Novomessor;;;;
Nylanderia;Nylanderia;;;;
Ochetellus;Ochetellus;;;;
Ochetomyrmex;Ochetomyrmex;;;;
Octostruma;Octostruma;;;;
Ocymyrmex;Ocymyrmex;;;;
Odontomachus;Odontomachus;;;;
;Odontophotopsis;;;;
Odontoponera;Odontoponera;;;;
Oecophylla;Oecophylla;;;;
Onychomyrmex;Onychomyrmex;;;;
Opamyrma;;;;;
Ophthalmopone;Ophthalmopone;;;;
Opisthopsis;Opisthopsis;;;;
Orectognathus;Orectognathus;;;;
Overbeckia;;;;;
Oxyepoecus;Oxyepoecus;;;;
Oxyopomyrmex;Oxyopomyrmex;;;;
Pachycondyla;Pachycondyla;;;;
Paltothyreus;Paltothyreus;;;;
Papyrius;Papyrius;;;;
Paramycetophylax;;;;;
Paraparatrechina;Paraparatrechina;;;;
Paraponera;Paraponera;;;;
Paratopula;Paratopula;;;;
Paratrechina;Paratrechina;;;;
Parvaponera;;;;;
Perissomyrmex;Perissomyrmex;;;;
Peronomyrmex;;;;;
Petalomyrmex;;;;;
Phalacromyrmex;Phalacromyrmex;;;;
Phasmomyrmex;;;;;
Pheidole;Pheidole;;;;
;Philanthus;;;;
Philidris;Philidris;;;;
Phrynoponera;Phrynoponera;;;;
Pilotrochus;Pilotrochus;;;;
Plagiolepis;Plagiolepis;;;;
Platythyrea;Platythyrea;;;;
Plectroctena;Plectroctena;;;;
Podomyrma;Podomyrma;;;;
Poecilomyrma;Poecilomyrma;;;;
Pogonomyrmex;Pogonomyrmex;;;;
Polyergus;Polyergus;;;;
Polyrhachis;Polyrhachis;;;;
Ponera;Ponera;;;;
Prenolepis;Prenolepis;;;;
Prionopelta;Prionopelta;;;;
;Pristocera;;;;
Pristomyrmex;Pristomyrmex;;;;
Proatta;Proatta;;;;
Probolomyrmex;Probolomyrmex;;;;
Proceratium;Proceratium;;;;
Procryptocerus;Procryptocerus;;;;
Proformica;Proformica;;;;
Prolasius;Prolasius;;;;
Promyopias;;;;;
Propodilobus;Propodilobus;;;;
Protalaridris;Protalaridris;;;;
Protanilla;Protanilla;;;;
Psalidomyrmex;Psalidomyrmex;;;;
Pseudolasius;Pseudolasius;;;;
Pseudomyrmex;Pseudomyrmex;;;;
Pseudoneoponera;Pseudoneoponera;;;;
Pseudonotoncus;;;;;
Pseudoponera;Pseudoponera;;;;
Rasopone;;;;;
;Ravavy;;;;
Recurvidris;Recurvidris;;;;
Rhopalomastix;Rhopalomastix;;;;
Rhopalothrix;Rhopalothrix;;;;
Rhytidoponera;Rhytidoponera;;;;
Rogeria;Rogeria;Rogeria;;;
Romblonella;Romblonella;;;;
