Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
mean_rf,1,0,0,1,13.2618
quantile25,1,1,0,0.5,nan
quantile50,1,0.00990099,0,0.99505,10.0499
quantile75,1,0,0,1,10.4777
quantile99,1,0,0,1,9.81703
quantile999,1,0,0,1,10.8899
mean_tl,0.415842,0.584158,0.831683,0.415842,0.148555
var_tl,0.475248,0.524752,0.950495,0.475248,0.106629
entropy,0.940594,0.0594059,0.118812,0.940594,2.39253
