Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	dir_alpha	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_prior[1]	pi_prior[2]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
100	-374.803	-363.205	-11.5983	0.98018	4.03127	0.256092	0.137358	0.0895237	0.214038	0.115803	0.0303243	0.00315615	0.0285075	0.0232671	0.314094	0.139217	0.013143	0.0447911	0.0905643	0.254499	0.228205	0.217902	0.673764	0.995001	0.409152	0.248616	0.055424	0.0572907	0.0611704	0.0179835	0.959364	0.679354	0.0196721	0.0119331	0.0665789	0.0521489	0.0567355	1.05902	0.132634	0.634791	0.137586	0.00084263	0.22678	0.132634	0.132634	0.132982	0.470712	0.996637	2.39967	7.62369
110	-382.246	-369.587	-12.6595	0.752629	3.53398	0.373665	0.115831	0.057558	0.158723	0.224633	0.0455326	0.0134948	0.0295982	0.0242614	0.0433484	0.29351	0.0373523	0.0863508	0.137271	0.152831	0.180528	0.206174	1.10251	0.498704	0.879932	0.179358	0.155205	0.0823717	0.0625097	0.0131077	0.875656	0.786614	0.0260475	0.011179	0.0607641	0.0454467	0.0250424	0.72167	0.230527	0.200813	0.612525	0.00149089	0.18517	0.230527	0.230527	0.085447	0.387339	0.942912	2.5843	7.70678
120	-368.942	-371.427	2.4845	0.664259	5.90727	0.0862833	0.0930147	0.0449981	0.212569	0.166156	0.0223834	0.00484827	0.112155	0.00766345	0.0911275	0.305494	0.0172809	0.0187213	0.049201	0.117079	0.0539116	0.115166	1.09947	0.356472	0.373516	0.359932	0.0916955	0.0777643	0.0375985	0.0155708	0.217732	0.166283	0.0311434	0.0311129	0.0444823	0.150635	0.027047	0.47496	0.160797	0.0824413	0.737662	0.00199896	0.177897	0.160797	0.160797	0.0665765	0.346167	0.910868	2.67639	5.07347
130	-353.579	-358.472	4.89289	1.32872	7.65802	0.043153	0.16201	0.066402	0.0774226	0.147974	0.0142474	0.00871187	0.117619	0.00245129	0.12624	0.325911	0.0363405	0.0118965	0.0126287	0.139736	0.0829231	0.153126	0.348992	0.638324	0.354136	0.074208	0.0632793	0.120927	0.0595104	0.0115875	0.349145	0.154513	0.0233229	0.0338118	0.0439596	0.0402405	0.0571616	0.308935	0.393463	0.0480838	0.747297	0.00180067	0.202819	0.393463	0.393463	0.19761	0.55732	1.03855	2.20652	4.21085
140	-344.834	-353.366	8.53264	0.796861	9.55779	0.0271735	0.110122	0.147387	0.171581	0.0834806	0.0149857	0.00336932	0.0405705	0.00369492	0.0810071	0.132068	0.104103	0.0149419	0.0187729	0.0760186	0.110625	0.102526	0.462673	0.426191	0.244797	0.0793261	0.0582231	0.0733131	0.0527663	0.00447905	0.151576	0.100404	0.0180602	0.0268771	0.0917718	0.0668783	0.0842495	0.594636	0.428166	0.0246219	0.730842	0.00116867	0.243367	0.428166	0.428166	0.0948906	0.405867	0.956081	2.54316	3.77865
150	-356.656	-356.7	0.0446409	1.23191	7.23197	0.0622154	0.173605	0.167354	0.0501099	0.186675	0.0355556	0.0309313	0.0413811	0.00455577	0.676941	0.151532	0.0689577	0.0124447	0.0042438	0.0388546	0.30794	0.167016	0.663483	0.430996	0.311707	0.0233407	0.0684896	0.0461375	0.074632	0.0334082	0.168516	0.315533	0.0656601	0.0195251	0.0827729	0.113636	0.197078	0.47409	0.203222	0.0259718	0.79901	0.000811311	0.174207	0.203222	0.203222	0.180789	0.536862	1.02985	2.25249	5.26932
160	-349.849	-355.527	5.67727	0.812087	7.87253	0.0249999	0.0292273	0.310965	0.0284544	0.0424114	0.0497883	0.0177435	0.00574833	0.00684189	0.523007	0.134336	0.0114363	0.00340625	0.0139176	0.0904773	0.152998	0.162441	0.652353	0.403469	0.144507	0.0274525	0.0717578	0.0263928	0.126491	0.0234023	0.16619	0.107406	0.0220568	0.0139444	0.00647144	0.0974233	0.321146	0.615894	0.327	0.0412185	0.396396	0.00102958	0.561356	0.327	0.327	0.098128	0.411955	0.960249	2.52967	4.43456
170	-341.365	-351.69	10.325	1.7515	11.1675	0.0861783	0.0190178	0.0559114	0.00842287	0.0581454	0.0366767	0.0307987	0.0128899	0.0115173	0.33565	0.0535847	0.0294293	0.00893105	0.010198	0.0517165	0.108699	0.178967	0.71624	0.210717	0.486094	0.0443279	0.115597	0.027834	0.0985472	0.0647048	0.127963	0.0491842	0.0296318	0.0130972	0.00622076	0.0151093	0.153599	0.412952	0.156412	0.126286	0.464748	0.00105568	0.40791	0.156412	0.156412	0.261693	0.625689	1.06232	2.0503	3.66855
180	-331.929	-354.66	22.7308	1.60593	8.91539	0.108748	0.05246	0.0231788	0.00145365	0.0387247	0.033011	0.0157506	0.0124514	0.0008244	0.101777	0.0296343	0.0327674	0.0115843	0.0131906	0.0751662	0.134317	0.164115	0.34347	0.148475	0.129254	0.047726	0.14078	0.015061	0.0482982	0.0631116	0.0888875	0.10781	0.0413972	0.00801533	0.0200828	0.0637856	0.147036	0.240197	0.0897693	0.268246	0.188067	0.000719202	0.542969	0.0897693	0.0897693	0.241233	0.605289	1.05608	2.0974	2.50254
190	-338.905	-354.612	15.7074	0.815965	9.4603	0.0695713	0.0803568	0.0891899	0.00381731	0.0448844	0.0180391	0.0158376	0.00563717	0.00102343	0.153713	0.0195761	0.0437186	0.0225519	0.0111392	0.0285402	0.130969	0.099218	0.471856	0.253488	0.101099	0.0398166	0.180064	0.0134411	0.0570022	0.131258	0.124566	0.0147371	0.0156618	0.00665101	0.041506	0.11445	0.149376	0.706449	0.100136	0.150482	0.262173	0.000705082	0.58664	0.100136	0.100136	0.0989511	0.413483	0.961282	2.52628	3.2592
200	-330.655	-357.305	26.65	0.895023	12.4296	0.027118	0.0288975	0.0568528	0.00388601	0.0801754	0.0253699	0.00708274	0.0317974	0.00173194	0.250555	0.0531286	0.0253101	0.0414706	0.0080285	0.071226	0.0737288	0.0292354	0.249629	0.23795	0.0617451	0.0248977	0.115282	0.0466948	0.0345147	0.0412749	0.0922906	0.015288	0.0215284	0.0290341	0.0583439	0.0225422	0.142009	0.187994	0.296419	0.0191222	0.101878	0.000119504	0.878881	0.296419	0.296419	0.115562	0.442754	0.980167	2.46152	2.19661
210	-337.403	-358.749	21.346	1.1424	12.4296	0.0150008	0.0351322	0.0540064	0.0140462	0.0267625	0.0340023	0.00598742	0.0430867	0.00510479	0.106658	0.128321	0.0173348	0.0743765	0.015775	0.0374441	0.101357	0.0111276	0.193028	0.168858	0.117186	0.0395629	0.227959	0.0305474	0.0333146	0.0265783	0.20804	0.00765346	0.053126	0.0307481	0.0437471	0.0870894	0.15873	0.401781	0.186009	0.0149962	0.166752	0.00018321	0.818068	0.186009	0.186009	0.164459	0.515733	1.0201	2.29971	2.55347
220	-340.258	-357.895	17.6374	0.549074	9.006	0.0151989	0.0517536	0.0523835	0.00662538	0.12998	0.0481152	0.00662924	0.0308716	0.00570665	0.0406541	0.0509341	0.100493	0.0323181	0.0114839	0.0495433	0.125428	0.0319264	0.529584	0.173862	0.104891	0.0511368	0.210642	0.0123909	0.0737845	0.0266669	0.260407	0.00838524	0.0590701	0.0272241	0.0215039	0.0802907	0.0688468	0.507218	0.245319	0.00982024	0.26192	0.000149754	0.72811	0.245319	0.245319	0.0428053	0.282751	0.852935	2.82151	3.00595
