Iter	Posterior	Likelihood	Prior	Tree
0	-90.2437	-96.5763	6.33256	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0010;ch0=0010;ch1=0010;cs=n;bn=18;ev={}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0010;ch0=0100;ch1=0100;cs=n;bn=15;ev={{t:0.338083,a:1.08097,s:1,i:1},{t:0.891504,a:0.835198,s:0,i:2}}]:0.444092)[&index=21;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=20;ev={{t:0.395077,a:1.60539,s:1,i:2},{t:0.453346,a:1.59509,s:0,i:1}}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0110;ev={{t:0.445357,a:-0.802097,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0110;ev={{t:0.542696,a:-0.977408,s:0,i:1}}]:1.80102)[&index=22;nd=0110;pa=0100;ch0=0110;ch1=0110;cs=n;bn=13;ev={{t:0.287625,a:1.78639,s:1,i:2}}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=21;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=23;ev={{t:0.259005,a:2.10834,s:1,i:1},{t:0.93209,a:1.90483,s:0,i:0}}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=10;ev={}]:1.35675)[&index=26;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=24;ev={}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.118974,a:-0.236346,s:1,i:2},{t:0.472497,a:-0.941275,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.805526,a:-1.60534,s:1,i:3},{t:0.978176,a:-1.9496,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=8;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=7;ev={}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=0100;ev={{t:0.71466,a:-2.13184,s:1,i:0},{t:0.841426,a:-2.51014,s:0,i:1}}]:2.98425)[&index=29;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=28;ev={{t:0.54041,a:2.7365,s:1,i:1},{t:0.953024,a:2.54665,s:0,i:0}}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=5;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=30;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=3;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=31;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=1;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.161893,a:-0.456684,s:1,i:1},{t:0.543718,a:-1.53608,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=34;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
10	-47.8129	-54.3993	6.58642	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=18;ev={{t:0.284784,a:0.764769,s:1,i:2},{t:0.70038,a:0.470267,s:0,i:1}}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=15;ev={}]:0.444092)[&index=21;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=20;ev={}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0110;ev={{t:0.752051,a:-1.35446,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0010;ev={}]:1.80102)[&index=22;nd=0110;pa=0100;ch0=0110;ch1=0010;cs=s;bn=13;ev={{t:0.32727,a:1.78437,s:1,i:2}}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=21;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=23;ev={{t:0.125572,a:2.14868,s:1,i:1},{t:0.241473,a:2.11364,s:0,i:0}}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=10;ev={}]:1.35675)[&index=26;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=25;ev={}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.426635,a:-0.849825,s:1,i:2},{t:0.837949,a:-1.66999,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.802157,a:-1.59862,s:1,i:3},{t:0.978176,a:-1.9496,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=8;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=7;ev={{t:0.118523,a:2.69722,s:1,i:1},{t:0.600885,a:2.57305,s:0,i:0}}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=1000;ev={}]:2.98425)[&index=29;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=28;ev={}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=5;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=30;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=3;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=32;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=1;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.423091,a:-1.19507,s:1,i:1},{t:0.508287,a:-1.43592,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=0;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
20	-47.7897	-53.6298	5.8401	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=17;ev={{t:0.585086,a:0.551968,s:1,i:2},{t:0.713968,a:0.460639,s:0,i:1}}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=16;ev={}]:0.444092)[&index=21;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=20;ev={}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0110;ev={{t:0.419509,a:-0.755544,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0010;ev={}]:1.80102)[&index=22;nd=0110;pa=0100;ch0=0110;ch1=0010;cs=s;bn=13;ev={{t:0.636485,a:1.76863,s:1,i:2}}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=22;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=12;ev={{t:0.09789,a:2.15705,s:1,i:1},{t:0.638276,a:1.99367,s:0,i:0}}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=11;ev={}]:1.35675)[&index=26;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=25;ev={}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.124903,a:-0.248168,s:1,i:2},{t:0.131586,a:-0.261493,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.75113,a:-1.49687,s:1,i:3},{t:0.788699,a:-1.57178,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=9;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=7;ev={{t:0.388877,a:2.62763,s:1,i:1},{t:0.443527,a:2.61356,s:0,i:0}}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=1000;ev={}]:2.98425)[&index=29;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=28;ev={}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=29;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=26;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=4;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=31;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=1;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.475763,a:-1.34397,s:1,i:1},{t:0.732026,a:-2.06842,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=0;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
30	-44.998	-50.7819	5.78386	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=18;ev={{t:0.5904,a:0.548202,s:1,i:2},{t:0.628623,a:0.521116,s:0,i:1}}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=15;ev={}]:0.444092)[&index=21;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=20;ev={}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0110;ev={{t:0.22924,a:-0.412865,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0010;ev={}]:1.80102)[&index=22;nd=0110;pa=0100;ch0=0110;ch1=0010;cs=s;bn=13;ev={{t:0.244779,a:1.78857,s:1,i:2}}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=22;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=23;ev={{t:0.411951,a:2.0621,s:1,i:1},{t:0.54903,a:2.02065,s:0,i:0}}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=10;ev={}]:1.35675)[&index=26;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=24;ev={}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.639078,a:-1.27344,s:1,i:2},{t:0.814752,a:-1.62374,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.809518,a:-1.6133,s:1,i:3},{t:0.884339,a:-1.76249,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=9;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=27;ev={{t:0.333297,a:2.64193,s:1,i:1},{t:0.598269,a:2.57373,s:0,i:0}}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=1000;ev={}]:2.98425)[&index=29;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=28;ev={}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=5;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=30;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=3;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=31;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=2;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.263155,a:-0.742946,s:1,i:1},{t:0.716141,a:-2.02351,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=34;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
40	-49.5164	-56.0751	6.55865	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=18;ev={{t:0.916221,a:0.317317,s:1,i:2},{t:0.973194,a:0.276944,s:0,i:1}}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=15;ev={}]:0.444092)[&index=21;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=19;ev={}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0110;ev={{t:0.590224,a:-1.06301,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0110;ev={{t:0.672335,a:-1.21089,s:0,i:1}}]:1.80102)[&index=22;nd=0110;pa=0100;ch0=0110;ch1=0110;cs=w;bn=14;ev={{t:0.25664,a:1.78796,s:1,i:2}}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=21;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=1100;ch0=0100;ch1=0100;cs=n;bn=23;ev={{t:0.531662,a:2.0259,s:0,i:0}}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1100;ch0=1000;ch1=1000;cs=n;bn=11;ev={{t:0.0691367,a:1.03845,s:0,i:1}}]:1.35675)[&index=26;nd=1100;pa=1000;ch0=1100;ch1=1100;cs=w;bn=24;ev={{t:0.375933,a:1.85398,s:1,i:1}}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.4274,a:-0.851351,s:1,i:2},{t:0.799217,a:-1.59276,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.895156,a:-1.78406,s:1,i:3},{t:0.97369,a:-1.94066,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=8;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=27;ev={{t:0.136507,a:2.69259,s:1,i:1},{t:0.853349,a:2.50806,s:0,i:0}}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=1000;ev={}]:2.98425)[&index=29;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=28;ev={}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=29;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=30;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=3;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=31;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=1;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.0152226,a:-0.0420547,s:1,i:1},{t:0.10801,a:-0.304359,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=0;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
50	-45.8966	-53.3426	7.44598	((((((((P_hawaiiensis_WaikamoiL1[&index=18;nd=0010;pa=0010;ev={}]:0.965685,P_mauiensis_Eke[&index=17;nd=0010;pa=0010;ev={}]:0.965685)[&index=19;nd=0010;pa=0100;ch0=0010;ch1=0010;cs=n;bn=17;ev={{t:0.091377,a:0.901823,s:1,i:2},{t:0.356173,a:0.714181,s:0,i:1}}]:0.708626,(P_fauriei2[&index=16;nd=0100;pa=0100;ev={}]:1.23022,P_hathewayi_1[&index=15;nd=0100;pa=0100;ev={}]:1.23022)[&index=20;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=16;ev={}]:0.444092)[&index=21;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=19;ev={}]:0.176712,(P_kaduana_PuuKukuiAS[&index=14;nd=0010;pa=0100;ev={{t:0.545094,a:-0.981726,s:1,i:2},{t:0.726847,a:-1.30907,s:0,i:1}}]:1.80102,P_mauiensis_PepeAS[&index=13;nd=0010;pa=0100;ev={{t:0.500042,a:-0.900587,s:1,i:2},{t:0.742259,a:-1.33682,s:0,i:1}}]:1.80102)[&index=22;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=14;ev={}]:0.0508898)[&index=23;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=22;ev={}]:0.334738,P_kaduana_HawaiiLoa[&index=12;nd=0100;pa=0100;ev={}]:2.18576)[&index=24;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=12;ev={}]:0.302349,(P_greenwelliae07[&index=11;nd=1000;pa=1000;ev={}]:1.13136,P_greenwelliae907[&index=10;nd=1000;pa=1000;ev={}]:1.13136)[&index=25;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=11;ev={}]:1.35675)[&index=26;nd=1100;pa=1000;ch0=0100;ch1=1000;cs=a;bn=24;ev={{t:0.858847,a:1.03826,s:1,i:1}}]:1.68917,((((P_mariniana_MauiNui[&index=9;nd=0010;pa=0100;ev={{t:0.342138,a:-0.681337,s:1,i:2},{t:0.580768,a:-1.15717,s:0,i:1}}]:1.99401,P_hawaiiensis_Makaopuhi[&index=8;nd=0001;pa=0100;ev={{t:0.901243,a:-1.7962,s:1,i:3},{t:0.961001,a:-1.91536,s:0,i:1}}]:1.99401)[&index=27;nd=0100;pa=0100;ch0=0100;ch1=0100;cs=n;bn=9;ev={}]:0.732828,P_mariniana_Oahu[&index=7;nd=0100;pa=0100;ev={}]:2.72684)[&index=28;nd=0100;pa=1000;ch0=0100;ch1=0100;cs=n;bn=7;ev={{t:0.541229,a:2.58841,s:1,i:1},{t:0.936331,a:2.4867,s:0,i:0}}]:0.257415,P_mariniana_Kokee2[&index=6;nd=1000;pa=1000;ev={}]:2.98425)[&index=29;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=6;ev={}]:0.460108,P_wawraeDL7428[&index=5;nd=1000;pa=1000;ev={}]:3.44436)[&index=30;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=5;ev={}]:0.732917)[&index=31;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=26;ev={}]:0.734519,(P_grandiflora_Kal2[&index=4;nd=1000;pa=1000;ev={}]:2.4793,P_hobdyi_Kuia[&index=3;nd=1000;pa=1000;ev={}]:2.4793)[&index=32;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=4;ev={}]:2.4325)[&index=33;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=31;ev={}]:0.287312,((P_hexandra_K1[&index=2;nd=1000;pa=1000;ev={}]:2.36398,P_hexandra_M[&index=1;nd=1000;pa=1000;ev={}]:2.36398)[&index=34;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=2;ev={}]:0.463045,P_hexandra_Oahu[&index=0;nd=0100;pa=1000;ev={{t:0.245437,a:-0.692857,s:1,i:1},{t:0.856556,a:-2.42045,s:0,i:0}}]:2.82694)[&index=35;nd=1000;pa=1000;ch0=1000;ch1=1000;cs=n;bn=34;ev={}]:2.37208)[&index=36;nd=1000;pa=1111;ch0=1000;ch1=1000;cs=n;bn=35;ev={}]:0
