Iteration	Posterior	Likelihood	Prior	r_gain	r_loss	dp	widespread_sympatry	subset_sympatry	allopatry	clock_bg
570	-142.37	-144.137	1.76704	0.428861	0.571139	0.167066	0.306074	0.3974	0.296526	0.0025735
580	-143.974	-141.882	-2.09196	0.478901	0.521099	0.522318	0.431772	0.0282671	0.539961	0.00225494
590	-141.489	-140.673	-0.815766	0.186918	0.813082	0.425474	0.304654	0.406986	0.28836	0.00286419
600	-140.765	-139.845	-0.919772	0.354214	0.645786	0.505818	0.141186	0.789186	0.0696284	0.00214008
610	-143.109	-142.554	-0.555016	0.351321	0.648679	0.397806	0.315136	0.502541	0.182323	0.001413
620	-144.062	-139.121	-4.94163	0.544328	0.455672	0.819065	0.381293	0.430832	0.187875	0.00166481
630	-143.212	-141.751	-1.46114	0.553924	0.446076	0.473597	0.370026	0.143225	0.486749	0.00178241
640	-140.35	-140.287	-0.0632806	0.248058	0.751942	0.438261	0.114935	0.15467	0.730395	0.00256119
650	-142.769	-146.499	3.73093	0.526324	0.473676	0.0273891	0.163564	0.0790904	0.757345	0.00225705
660	-140.98	-144.937	3.9564	0.43462	0.56538	0.00534471	0.163571	0.521857	0.314572	0.00175004
670	-140.659	-143.949	3.29086	0.225319	0.774681	0.0102557	0.320114	0.353799	0.326087	0.00296444
680	-140.976	-144.71	3.73407	0.120822	0.879178	0.0184422	0.173353	0.463517	0.363131	0.00565831
690	-146.102	-149.843	3.7402	0.13745	0.86255	0.0197895	0.171181	0.438435	0.390384	0.00483335
700	-142.092	-143.93	1.83794	0.294359	0.705641	0.115433	0.496318	0.156803	0.346879	0.00361101
710	-141.552	-143.16	1.60796	0.429253	0.570747	0.188612	0.289634	0.268196	0.44217	0.00190369
720	-145.582	-146.868	1.2862	0.818538	0.181462	0.23631	0.246102	0.419464	0.334434	0.00104032
730	-139.071	-143.157	4.08572	0.462339	0.537661	0.209187	0.0146807	0.341385	0.643934	0.00194062
740	-140.589	-141.431	0.841165	0.310827	0.689173	0.305474	0.184682	0.590943	0.224375	0.00221979
750	-141.669	-142.483	0.81443	0.34162	0.65838	0.233376	0.421052	0.339922	0.239027	0.00282053
760	-141.691	-140.579	-1.11147	0.379594	0.620406	0.432319	0.396185	0.468819	0.134997	0.00194622
770	-143.53	-145.385	1.85547	0.611057	0.388943	0.159942	0.305254	0.466002	0.228744	0.00109551
780	-144.493	-146.422	1.92934	0.645747	0.354253	0.127818	0.400617	0.208688	0.390694	0.00136497
790	-140.784	-143.609	2.82498	0.27343	0.72657	0.0666403	0.288544	0.230429	0.481027	0.00251331
800	-141.667	-144.436	2.76973	0.412471	0.587529	0.0340985	0.442582	0.164005	0.393413	0.00207926
810	-140.342	-144.619	4.2769	0.472813	0.527187	0.0819428	0.048737	0.220919	0.730344	0.00207509
820	-140.345	-145.343	4.99797	0.547603	0.452397	0.048524	0.0318571	0.329964	0.638179	0.00165278
830	-142.977	-146.128	3.1512	0.692393	0.307607	0.122737	0.109215	0.714651	0.176134	0.00123158
840	-141.116	-145.411	4.29548	0.516466	0.483534	0.0429443	0.0737398	0.612075	0.314185	0.00194681
850	-143.482	-146.568	3.08619	0.648095	0.351905	0.0799588	0.187847	0.592408	0.219745	0.00170305
860	-141.825	-146.769	4.94375	0.612597	0.387403	0.192293	0.00683767	0.231298	0.761864	0.00179959
870	-139.173	-142.243	3.07058	0.425754	0.574246	0.394957	0.00570888	0.264168	0.730123	0.0026896
880	-140.811	-139.583	-1.22793	0.432181	0.567819	0.6474	0.0412011	0.199273	0.759526	0.00221806
890	-141.734	-141.388	-0.346517	0.244672	0.755328	0.371077	0.333134	0.255973	0.410893	0.00229366
900	-144.551	-139.788	-4.76283	0.627311	0.372689	0.835834	0.259293	0.570441	0.170266	0.00171963
910	-143.541	-140.003	-3.53819	0.335331	0.664669	0.789205	0.109235	0.683036	0.207729	0.00368595
920	-142.558	-142.781	0.222989	0.403807	0.596193	0.353363	0.213867	0.222591	0.563542	0.00294353
930	-143.172	-143.958	0.785878	0.46071	0.53929	0.249146	0.365686	0.0833473	0.550966	0.00259411
940	-142.708	-143.938	1.22962	0.49741	0.50259	0.210496	0.34799	0.271343	0.380667	0.00133386
950	-141.086	-144.04	2.95396	0.246083	0.753917	0.103011	0.167555	0.772623	0.0598221	0.00216211
960	-142.498	-141.05	-1.44797	0.471893	0.528107	0.480662	0.336387	0.149886	0.513727	0.00197877
970	-141.987	-142.328	0.340996	0.562691	0.437309	0.367113	0.163577	0.667825	0.168597	0.00151959
980	-139.125	-143.005	3.87984	0.364113	0.635887	0.165499	0.0297931	0.400999	0.569208	0.00251971
990	-141	-146.72	5.72049	0.534119	0.465881	0.0660372	0.0118357	0.533026	0.455139	0.00100109
1000	-147.685	-150.569	2.88394	0.386268	0.613732	0.172853	0.0825119	0.188659	0.728829	0.00307602
1010	-150.905	-153.906	3.00027	0.389318	0.610682	0.0597018	0.25297	0.169645	0.577385	0.00376403
1020	-148.51	-147.448	-1.06166	0.101099	0.898901	0.404623	0.478286	0.0750822	0.446632	0.00771224
1030	-142.052	-139.144	-2.90892	0.289089	0.710911	0.543301	0.841817	0.106201	0.0519821	0.0028785
1040	-141.821	-143.39	1.56855	0.36442	0.63558	0.148116	0.470321	0.137257	0.392422	0.00270832
1050	-141.906	-140.819	-1.08692	0.282608	0.717392	0.452205	0.308985	0.289495	0.401519	0.00197815
1060	-134.981	-135.594	0.6125	0.471649	0.528351	0.296474	0.265502	0.205794	0.528704	0.00141729
1070	-135.268	-138.597	3.32892	0.547879	0.452121	0.107109	0.105642	0.681182	0.213176	0.00208159
1080	-136.335	-140.68	4.34458	0.630524	0.369476	0.140516	0.0235349	0.631656	0.344809	0.00224973
1090	-131.479	-130.798	-0.681216	0.36542	0.63458	0.863116	0.00204161	0.59592	0.402038	0.00225721
1100	-138.631	-144.846	6.21493	0.196276	0.803724	0.099385	0.00465178	0.785017	0.210331	0.00225713
1110	-139.382	-146.234	6.85258	0.196598	0.803402	0.0588453	0.00360433	0.493455	0.50294	0.00199233
1120	-139.328	-144.579	5.25069	0.111581	0.888419	0.0480875	0.0232963	0.643904	0.3328	0.00498437
1130	-135.001	-145.06	10.0594	0.483071	0.516929	0.0328855	0.000137018	0.59276	0.407103	0.00154981
1140	-134.895	-145.72	10.825	0.529311	0.470689	0.0372922	5.59029e-05	0.376134	0.62381	0.00126833
1150	-127.045	-137.588	10.5422	0.289916	0.710084	0.0884024	4.24196e-05	0.491916	0.508042	0.00327648
1160	-128.137	-135.125	6.98831	0.37551	0.62449	0.307368	0.000195401	0.837833	0.161972	0.00223223
1170	-130.414	-133.794	3.38	0.264228	0.735772	0.631499	0.000295322	0.544507	0.455198	0.00176149
1180	-129.919	-130.527	0.60755	0.20857	0.79143	0.93323	0.000221234	0.511909	0.487869	0.0032703
