Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
34	-5.96137	-23.7544	17.793	0.870581	0.0182533	0.0255162	0.0095797	0.19205	0.0790191	0.0315812	0.0284704	0.0782626	0.0819158	0.0479508	0.116942	0.0124774
35	-5.46012	-23.5298	18.0697	0.870581	0.0315284	0.0946527	0.0095797	0.156065	0.0112546	0.0245861	0.0284704	0.0313623	0.129478	0.0479508	0.116942	0.0124774
36	-7.33548	-23.8834	16.5479	0.544588	0.0583637	0.0352441	0.00643659	0.198882	0.0112546	0.0245861	0.147146	0.0577655	0.129478	0.0479508	0.447607	0.00780519
37	-10.0929	-25.2785	15.1856	0.392999	0.0658507	0.0352441	0.15462	0.198882	0.0112546	0.109116	0.147146	0.0974939	0.0175045	0.0162229	0.547139	0.0598618
38	-8.75792	-26.3992	17.6413	0.441234	0.0749603	0.000971388	0.15462	0.0873311	0.0145413	0.109116	0.0543741	0.0758101	0.0198212	0.0162229	0.305391	0.253375
39	-11.4019	-24.8117	13.4098	0.43922	0.0435145	0.000971388	0.156789	0.247165	0.0145413	0.109116	0.0543741	0.189356	0.131066	0.084027	0.303997	0.256782
40	-15.7559	-25.4064	9.65044	0.438094	0.0570997	0.0126527	0.156789	0.357283	0.0139317	0.109116	0.0543741	0.168198	0.393385	0.084027	0.304608	0.257298
41	-12.7735	-27.1287	14.3552	0.379824	0.0709302	0.0126527	0.0279062	0.170309	0.0139317	0.109116	0.0543741	0.0385502	0.393385	0.04523	0.481693	0.138482
42	-6.44314	-25.1427	18.6996	0.367113	0.014092	0.0126527	0.0279062	0.170309	0.0139317	0.109116	0.0543741	0.0385502	0.0528783	0.00812908	0.525375	0.107512
43	-3.56684	-24.289	20.7222	0.59297	0.0217464	0.00623314	0.0279062	0.0870471	0.0139317	0.00941408	0.0543741	0.013543	0.0551157	0.0103687	0.233374	0.173656
44	-7.8434	-25.7901	17.9467	0.375418	0.0626531	0.110442	0.0190462	0.0961438	0.0139317	0.00941408	0.0543741	0.122451	0.0619417	0.026831	0.291674	0.332908
45	-10.6515	-26.0898	15.4383	0.31841	0.0454498	0.0835537	0.0190462	0.191421	0.0160617	0.231544	0.0543741	0.136741	0.023048	0.026831	0.247382	0.434207
46	-9.31906	-26.2558	16.9367	0.18969	0.0391754	0.234493	0.0190462	0.191421	0.0160617	0.0672497	0.0543741	0.0314094	0.00753387	0.017465	0.551635	0.258675
47	-7.26609	-24.816	17.5499	0.516101	0.0752173	0.050745	0.0679167	0.191421	0.0128268	0.0672497	0.0182781	0.0314094	0.0189266	0.0829151	0.192097	0.291802
48	-5.55714	-23.0586	17.5015	0.618595	0.0301671	0.118602	0.0679167	0.191421	0.0128268	0.0672497	0.0182781	0.013452	0.0189266	0.0829151	0.285813	0.0955923
49	-7.33325	-25.5589	18.2257	0.514492	0.0134	0.0597639	0.168645	0.124312	0.0503852	0.0672497	0.0182781	0.013452	0.0239282	0.00991605	0.406003	0.0795052
50	-7.09444	-24.8402	17.7457	0.657576	0.0301713	0.00722475	0.0158358	0.124312	0.125858	0.0672497	0.0182781	0.149363	0.0246408	0.0343957	0.208922	0.133502
51	-6.82743	-25.66	18.8325	0.468495	0.0457763	0.0479273	0.0158358	0.124312	0.125858	0.0691544	0.0170623	0.00433444	0.0246408	0.0137453	0.390013	0.141492
52	-12.1678	-24.4572	12.2893	0.757256	0.0655934	0.356799	0.0158358	0.195473	0.125858	0.0467665	0.0170623	0.108028	0.0246408	0.186912	0.101894	0.14085
53	-13.091	-24.1418	11.0508	0.35259	0.035294	0.00823856	0.179085	0.542032	0.125858	0.0467665	0.0170623	0.108028	0.017543	0.186912	0.468198	0.179211
54	-14.4386	-25.8856	11.447	0.574031	0.035294	0.0314029	0.179085	0.168433	0.125858	0.0943037	0.260339	0.108028	0.0375465	0.186912	0.21296	0.213009
55	-11.3119	-25.1158	13.8039	0.504938	0.0187079	0.038249	0.0748654	0.315483	0.125858	0.0842762	0.260339	0.00701374	0.0543922	0.0123249	0.146735	0.348327
56	-7.44474	-22.5137	15.0689	0.764175	0.0190586	0.00612258	0.0748654	0.380555	0.125923	0.0089647	0.00923922	0.00701374	0.0203832	0.212881	0.22207	0.013755
57	-7.14642	-22.5067	15.3603	0.672467	0.0181202	0.0167396	0.0963357	0.380555	0.125923	0.0655118	0.0441905	0.00701374	0.0574006	0.024078	0.315429	0.0121043
