Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
34	-22.9282	-27.2328	4.3046	0.381089	0.0656352	0.22275	0.22275	0.22275	0.22275	0.22275	0.22275	0.0412446	0.0412446	0.0412446	0.585092	0.0338193
35	-23.5417	-28.0339	4.49223	0.191048	0.0340292	0.157585	0.157585	0.157585	0.157585	0.157585	0.157585	0.119253	0.119253	0.119253	0.519797	0.289155
36	-20.3398	-26.0964	5.75656	0.370588	0.0348235	0.137253	0.137253	0.137253	0.137253	0.137253	0.137253	0.0123582	0.0123582	0.0123582	0.58223	0.0471823
37	-20.7314	-26.0596	5.32824	0.8117	0.0408139	0.0995294	0.0995294	0.0995294	0.0995294	0.0995294	0.0995294	0.0869231	0.0869231	0.0869231	0.0246371	0.163663
38	-22.3451	-26.4457	4.10057	0.462271	0.0286395	0.199761	0.199761	0.199761	0.199761	0.199761	0.199761	0.121633	0.121633	0.121633	0.392964	0.144765
39	-25.3344	-30.2918	4.95746	0.631719	0.138031	0.0879138	0.0879138	0.0879138	0.0879138	0.0879138	0.0879138	0.0383997	0.0383997	0.0383997	0.293092	0.075189
40	-21.7989	-26.2341	4.43522	0.564569	0.0505757	0.252526	0.252526	0.252526	0.252526	0.252526	0.252526	0.0134674	0.0134674	0.0134674	0.223063	0.212367
41	-25.5357	-31.141	5.60537	0.398877	0.121899	0.0641871	0.0641871	0.0641871	0.0641871	0.0641871	0.0641871	0.0134674	0.0134674	0.0134674	0.502316	0.0988068
42	-19.887	-26.652	6.76501	0.426805	0.0150604	0.0604498	0.0604498	0.0604498	0.0604498	0.0604498	0.0604498	0.00807882	0.00807882	0.00807882	0.467469	0.105725
43	-20.6677	-26.3939	5.72623	0.323282	0.0275788	0.158251	0.158251	0.158251	0.158251	0.158251	0.158251	0.00163782	0.00163782	0.00163782	0.596637	0.0800811
44	-21.2761	-27.2716	5.99558	0.398828	0.0246543	0.0718697	0.0718697	0.0718697	0.0718697	0.0718697	0.0718697	0.0640083	0.0640083	0.0640083	0.398956	0.202216
45	-22.5845	-28.0162	5.43171	0.468363	0.0873634	0.0898091	0.0898091	0.0898091	0.0898091	0.0898091	0.0898091	0.0397468	0.0397468	0.0397468	0.260754	0.270883
46	-20.5057	-27.226	6.72033	0.327053	0.0272943	0.0339828	0.0339828	0.0339828	0.0339828	0.0339828	0.0339828	0.0267798	0.0267798	0.0267798	0.477998	0.194949
47	-19.907	-25.9626	6.05565	0.599674	0.0537497	0.0730029	0.0730029	0.0730029	0.0730029	0.0730029	0.0730029	0.0277726	0.0277726	0.0277726	0.230066	0.17026
48	-21.0306	-26.3065	5.27592	0.532897	0.0579923	0.103626	0.103626	0.103626	0.103626	0.103626	0.103626	0.07088	0.07088	0.07088	0.320092	0.147012
49	-20.0184	-25.997	5.97859	0.589974	0.0608784	0.0716149	0.0716149	0.0716149	0.0716149	0.0716149	0.0716149	0.0297378	0.0297378	0.0297378	0.342363	0.0676633
50	-19.6913	-25.6055	5.91425	0.58797	0.0414083	0.109225	0.109225	0.109225	0.109225	0.109225	0.109225	0.0180321	0.0180321	0.0180321	0.259763	0.152267
51	-23.6324	-27.2235	3.59109	0.58797	0.0824859	0.235843	0.235843	0.235843	0.235843	0.235843	0.235843	0.0826522	0.0826522	0.0826522	0.259763	0.152267
52	-27.7826	-30.4896	2.70697	0.242827	0.0801566	0.326584	0.326584	0.326584	0.326584	0.326584	0.326584	0.0826522	0.0826522	0.0826522	0.12019	0.636983
53	-20.1728	-25.3885	5.21563	0.490201	0.0305206	0.199439	0.199439	0.199439	0.199439	0.199439	0.199439	0.00856784	0.00856784	0.00856784	0.481727	0.028072
54	-21.9304	-27.1231	5.19268	0.261655	0.0467275	0.167659	0.167659	0.167659	0.167659	0.167659	0.167659	0.0264353	0.0264353	0.0264353	0.711514	0.0268314
55	-23.7101	-26.2204	2.51033	0.60726	0.0251175	0.272484	0.272484	0.272484	0.272484	0.272484	0.272484	0.211456	0.211456	0.211456	0.369146	0.0235939
56	-24.8331	-26.9536	2.12049	0.517659	0.0363	0.300285	0.300285	0.300285	0.300285	0.300285	0.300285	0.211456	0.211456	0.211456	0.101002	0.38134
57	-22.9672	-26.724	3.75672	0.50676	0.0361422	0.25601	0.25601	0.25601	0.25601	0.25601	0.25601	0.0922662	0.0922662	0.0922662	0.106066	0.387174
58	-24.1487	-28.8518	4.70308	0.264318	0.0288253	0.209504	0.209504	0.209504	0.209504	0.209504	0.209504	0.0514529	0.0514529	0.0514529	0.169167	0.566516
59	-20.4836	-26.8143	6.33063	0.439325	0.0565407	0.0651234	0.0651234	0.0651234	0.0651234	0.0651234	0.0651234	0.00536304	0.00536304	0.00536304	0.442326	0.118349
60	-22.1082	-26.3345	4.22621	0.434018	0.018809	0.288505	0.288505	0.288505	0.288505	0.288505	0.288505	0.0301554	0.0301554	0.0301554	0.436982	0.129
61	-22.2301	-28.5507	6.32057	0.254374	0.0746598	0.028006	0.028006	0.028006	0.028006	0.028006	0.028006	0.0253673	0.0253673	0.0253673	0.304748	0.440878
62	-24.0674	-28.6816	4.61419	0.277226	0.0737636	0.139109	0.139109	0.139109	0.139109	0.139109	0.139109	0.0857988	0.0857988	0.0857988	0.24229	0.480484
63	-22.9181	-26.9212	4.00303	0.389016	0.0393087	0.162368	0.162368	0.162368	0.162368	0.162368	0.162368	0.15811	0.15811	0.15811	0.406124	0.20486
64	-24.8316	-29.3237	4.4921	0.458465	0.105289	0.162368	0.162368	0.162368	0.162368	0.162368	0.162368	0.0432235	0.0432235	0.0432235	0.428791	0.112744
65	-23.8009	-27.2236	3.42265	0.726508	0.0348157	0.135341	0.135341	0.135341	0.135341	0.135341	0.135341	0.247669	0.247669	0.247669	0.153465	0.120028
66	-20.129	-26.5027	6.37375	0.641484	0.0348157	0.0460417	0.0460417	0.0460417	0.0460417	0.0460417	0.0460417	0.0418582	0.0418582	0.0418582	0.132551	0.225965
67	-22.0771	-26.1877	4.11052	0.666866	0.0587407	0.244794	0.244794	0.244794	0.244794	0.244794	0.244794	0.045503	0.045503	0.045503	0.0982284	0.234906
68	-23.4567	-25.9525	2.49586	0.611064	0.0310807	0.335865	0.335865	0.335865	0.335865	0.335865	0.335865	0.143559	0.143559	0.143559	0.195645	0.193291
69	-20.8705	-25.9721	5.10157	0.465113	0.0278395	0.192598	0.192598	0.192598	0.192598	0.192598	0.192598	0.0294963	0.0294963	0.0294963	0.387762	0.147124
70	-22.8442	-27.1182	4.27392	0.404187	0.0541946	0.164902	0.164902	0.164902	0.164902	0.164902	0.164902	0.113601	0.113601	0.113601	0.256894	0.338919
71	-22.0208	-27.207	5.18621	0.487963	0.0606964	0.177155	0.177155	0.177155	0.177155	0.177155	0.177155	0.00361811	0.00361811	0.00361811	0.31014	0.201897
72	-19.2563	-26.1979	6.94161	0.384705	0.0228648	0.041936	0.041936	0.041936	0.041936	0.041936	0.041936	0.00112879	0.00112879	0.00112879	0.503393	0.111902
73	-20.7084	-26.5366	5.82827	0.637777	0.0720075	0.0503026	0.0503026	0.0503026	0.0503026	0.0503026	0.0503026	0.054953	0.054953	0.054953	0.279712	0.0825109
74	-19.106	-25.4014	6.2954	0.626624	0.04801	0.0622627	0.0622627	0.0622627	0.0622627	0.0622627	0.0622627	0.0202771	0.0202771	0.0202771	0.336525	0.0368518
75	-19.7097	-25.5495	5.83984	0.539426	0.0396186	0.11621	0.11621	0.11621	0.11621	0.11621	0.11621	0.0202771	0.0202771	0.0202771	0.373333	0.0872409
76	-20.5956	-25.75	5.15437	0.603513	0.0455737	0.160554	0.160554	0.160554	0.160554	0.160554	0.160554	0.0385261	0.0385261	0.0385261	0.215419	0.181068
77	-21.8298	-27.5726	5.74273	0.546725	0.0213398	0.101888	0.101888	0.101888	0.101888	0.101888	0.101888	0.0625892	0.0625892	0.0625892	0.104656	0.34862
78	-21.6453	-25.5383	3.89301	0.657661	0.0293376	0.330301	0.330301	0.330301	0.330301	0.330301	0.330301	0.01115	0.01115	0.01115	0.128972	0.213367
79	-22.1496	-27.9427	5.7931	0.321294	0.0341998	0.145826	0.145826	0.145826	0.145826	0.145826	0.145826	0.000754127	0.000754127	0.000754127	0.244436	0.434269
80	-23.2655	-28.3936	5.12808	0.506817	0.0661624	0.0412546	0.0412546	0.0412546	0.0412546	0.0412546	0.0412546	0.139866	0.139866	0.139866	0.224363	0.268819
81	-19.872	-26.5235	6.65145	0.443931	0.0336143	0.0382505	0.0382505	0.0382505	0.0382505	0.0382505	0.0382505	0.0230803	0.0230803	0.0230803	0.354904	0.201165
82	-25.8526	-26.5683	0.715632	0.582951	0.0576109	0.479744	0.479744	0.479744	0.479744	0.479744	0.479744	0.151172	0.151172	0.151172	0.083768	0.333281
83	-19.5964	-25.6789	6.08252	0.678169	0.0571852	0.0855266	0.0855266	0.0855266	0.0855266	0.0855266	0.0855266	0.00912606	0.00912606	0.00912606	0.259278	0.062553
84	-20.2387	-25.7269	5.48825	0.637324	0.0574722	0.123953	0.123953	0.123953	0.123953	0.123953	0.123953	0.0298402	0.0298402	0.0298402	0.303891	0.0587855
