Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	clock_scale_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	er_mol[1]	er_mol[2]	er_mol[3]	er_mol[4]	er_mol[5]	er_mol[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_mol[1]	pi_mol[2]	pi_mol[3]	pi_mol[4]	subset_sympatry	widespread_sympatry
660	-13245.6	-13137.7	-107.873	0.540057	0.00527345	0.391523	0.0248229	0.289821	0.143846	0.163191	0.00343178	0.0305047	0.0528172	0.04731	0.0292465	0.0117516	0.462726	0.0269612	0.0354253	0.38916	0.073976	0.00260917	0.0739763	0.522038	3.40138	0.370587	0.366575	0.0527879	0.21005	0.0992676	0.360675
670	-13245.5	-13136.7	-108.873	0.430799	0.00879876	0.650627	0.0511516	0.0171561	0.0800737	0.0397789	0.242303	0.110896	0.160267	0.045012	0.111237	0.0151038	0.434084	0.0281674	0.0204813	0.42608	0.0760827	0.00173891	0.0606222	0.483209	3.45443	0.359213	0.36752	0.0590795	0.214187	0.23578	0.33342
680	-13254.8	-13143.8	-110.903	0.263226	0.00856628	0.52817	0.0156161	0.0699284	0.00147411	0.102178	0.510841	0.164376	0.0355417	0.171395	0.0180836	0.0095373	0.42108	0.0256993	0.0428338	0.454082	0.0467671	0.00149085	0.0562038	0.469133	3.47317	0.377698	0.36187	0.0543571	0.206074	0.53549	0.201284
690	-13253	-13138.2	-114.839	0.382517	0.0490295	3.23172	0.131795	0.238904	0.0445269	0.0606469	0.011909	0.164376	0.0333889	0.0298629	0.0204931	0.0114538	0.421765	0.0291455	0.032424	0.464577	0.040634	0.00135902	0.0537004	0.460836	3.4841	0.371752	0.362501	0.0599127	0.205834	0.439607	0.177876
700	-13243.2	-13134.1	-109.185	0.633188	0.0493162	3.23172	0.0965709	0.0699831	0.0697969	0.10605	0.0177293	0.0435104	0.00722055	0.178515	0.0428393	0.0134965	0.374263	0.0331223	0.0275159	0.481065	0.0705366	0.00211542	0.0667466	0.501651	3.42949	0.344909	0.379375	0.0576746	0.218041	0.188168	0.178645
710	-13241.2	-13135.4	-105.824	0.335942	0.00994542	0.542797	0.0255426	0.0760202	0.128105	0.112999	0.0386168	0.00870819	0.0952829	0.0087249	0.114194	0.0114505	0.418238	0.0264788	0.029285	0.470733	0.0438143	0.000931986	0.0445902	0.428336	3.52614	0.375012	0.358845	0.062138	0.204005	0.300819	0.363239
720	-13244.1	-13136	-108.091	0.31186	0.0102759	0.621433	0.0255426	0.0217292	0.412731	0.249776	0.00471507	0.0542431	0.118058	0.0240106	0.0227664	0.0108833	0.42462	0.0282651	0.02796	0.450422	0.0578503	0.000954656	0.0451221	0.430345	3.52358	0.360759	0.368514	0.0578138	0.212913	0.206874	0.481266
730	-13247.2	-13137.8	-109.386	0.553913	0.0175947	1.02576	0.131642	0.0894385	0.0145542	0.258724	0.0495476	0.135655	0.191162	0.000197973	0.163113	0.0121726	0.399049	0.0264836	0.0165541	0.473662	0.0720784	0.000552889	0.0344509	0.386694	3.5783	0.364935	0.366113	0.0591812	0.20977	0.357376	0.0887104
740	-13244.9	-13131.5	-113.417	0.511857	0.0167592	1.02576	0.143904	0.0548555	0.0350503	0.287648	0.0976727	0.132969	0.191162	0.113713	0.0486721	0.011237	0.433186	0.0244482	0.0346014	0.447887	0.0486408	0.00129803	0.0525001	0.456769	3.48943	0.367257	0.359452	0.0553474	0.217944	0.441801	0.0463419
750	-13248.4	-13140.4	-107.938	0.555335	0.0378382	2.47946	0.033315	0.0482707	0.00372351	0.055248	0.0933869	0.078815	0.107481	0.0267155	0.0218831	0.0125952	0.43109	0.0292723	0.0229189	0.443962	0.0601615	0.00145125	0.0554642	0.466707	3.47638	0.376483	0.361325	0.0563679	0.205824	0.138002	0.306663
760	-13247.8	-13142.6	-105.238	0.377509	0.00801094	0.506483	0.106516	0.0887788	0.00947995	0.0773047	0.137993	0.0106535	0.0776803	0.00455812	0.0233712	0.014216	0.476709	0.0236097	0.022032	0.394502	0.0689311	0.0011607	0.0496863	0.446992	3.50216	0.345465	0.379377	0.0538798	0.221278	0.463188	0.159303
770	-13259.1	-13146.6	-112.578	0.334249	0.0134124	0.891032	0.0271774	0.342203	0.0506094	0.227268	0.472691	0.0419304	0.121953	0.0310382	0.0233712	0.0112362	0.437904	0.0252659	0.0333178	0.436152	0.0561235	0.00135883	0.0536967	0.460824	3.48412	0.368821	0.356313	0.0567061	0.21816	0.633573	0.0321783
780	-13246.9	-13136	-110.961	0.799825	0.0541872	3.35815	0.0325047	0.0582751	0.0422697	0.206866	0.036584	0.126483	0.0394699	0.0113499	0.313314	0.0103883	0.391837	0.0276763	0.0237532	0.466129	0.0802157	0.00127771	0.0520937	0.455378	3.49125	0.362059	0.366201	0.0598839	0.211856	0.122171	0.0780034
790	-13250.6	-13138.8	-111.704	0.475702	0.0409169	2.93042	0.0150278	0.0221488	0.0274442	0.361308	0.0351401	0.17054	0.0394699	0.0671769	0.0729681	0.015935	0.435834	0.0231693	0.0265869	0.437875	0.0606002	0.00246401	0.0719306	0.516408	3.4092	0.359939	0.374808	0.0622112	0.203041	0.360995	0.163303
800	-13247.9	-13137.4	-110.49	0.444495	0.0146571	0.982819	0.0850621	0.137138	0.000375696	0.293078	0.0782406	0.098805	0.107219	0.0765983	0.00802413	0.0173621	0.374823	0.027253	0.0265538	0.499693	0.0543149	0.0015345	0.0570072	0.471745	3.46971	0.360199	0.366746	0.0633032	0.209751	0.529949	0.0255558
810	-13249.3	-13134.1	-115.252	0.685492	0.0602044	3.08924	0.192304	0.176364	0.0572441	0.4229	0.0392645	0.0472012	0.0538318	0.0480748	0.0784522	0.0100456	0.408394	0.0301476	0.0208212	0.474662	0.0559297	0.00150637	0.0564908	0.470069	3.47193	0.362041	0.366266	0.0629259	0.208767	0.266662	0.0478458
820	-13247.9	-13135.7	-112.166	0.523427	0.0237057	1.37005	0.00368699	0.200735	0.0305782	0.139392	0.00842613	0.045295	0.135905	0.0480748	0.243276	0.00819594	0.413366	0.027621	0.022586	0.460915	0.0673162	0.00123426	0.0512135	0.452342	3.49521	0.377004	0.365493	0.0582849	0.199218	0.288826	0.187746
830	-13252.4	-13140.2	-112.245	0.408663	0.0224543	1.37005	0.0255453	0.0157942	0.0626376	0.0813196	0.58126	0.069976	0.00960267	0.069005	0.0271294	0.0114551	0.399802	0.0278783	0.0317032	0.492431	0.0367294	0.00221857	0.0683239	0.506219	3.42324	0.359026	0.371779	0.0621566	0.207038	0.384266	0.20707
840	-13248.1	-13137.8	-110.334	0.400086	0.0133917	0.889492	0.0255453	0.101974	0.0455538	0.0989948	0.0971539	0.0542202	0.0953105	0.085229	0.183117	0.0118766	0.36398	0.0350947	0.0213262	0.488102	0.0796205	0.00208022	0.0661994	0.50005	3.43167	0.38189	0.358538	0.056765	0.202807	0.0790231	0.520891
850	-13243.8	-13129.4	-114.358	0.460044	0.0288079	1.78263	0.0183789	0.135231	0.0455538	0.0989948	0.368112	0.0869324	0.0318324	0.085229	0.175545	0.0093476	0.407847	0.0266645	0.0303957	0.459826	0.0659196	0.00109402	0.0482583	0.441894	3.50875	0.375019	0.365836	0.0572958	0.201849	0.442058	0.0978982
860	-13249.8	-13134.5	-115.301	0.438976	0.025443	1.51119	0.171944	0.152288	0.0880323	0.101798	0.0678275	0.10336	0.000738977	0.188549	0.285182	0.00797828	0.395161	0.0255096	0.0268741	0.475224	0.0692529	0.000955284	0.0451367	0.4304	3.52351	0.363293	0.36888	0.0589415	0.208885	0.0758679	0.485156
870	-13249.7	-13139.7	-109.98	0.506694	0.0276802	1.51119	0.0631572	0.0780222	0.0455487	0.0024705	0.0829882	0.140941	0.0165755	0.0856543	0.0852043	0.00887077	0.474579	0.0200649	0.0280694	0.394943	0.0734722	0.00102108	0.0466442	0.436012	3.51632	0.383226	0.36679	0.0529279	0.197056	0.356869	0.136437
880	-13251.2	-13135.1	-116.123	0.618406	0.0487072	3.13887	0.0297645	0.343879	0.079322	0.0582328	0.00960271	0.140941	0.11197	0.0714669	0.105755	0.0141653	0.446681	0.0227648	0.0260402	0.427368	0.0629807	0.00105927	0.0474965	0.439134	3.51231	0.367858	0.371379	0.0538362	0.206927	0.298628	0.0829658
890	-13242.2	-13127.7	-114.532	0.841328	0.0264028	1.59568	0.00136848	0.0918952	0.0114901	0.348881	0.0485346	0.198091	0.0401167	0.0195751	0.22222	0.010751	0.408959	0.0341021	0.031726	0.468543	0.0459197	0.00123674	0.0512642	0.452517	3.49498	0.367882	0.367604	0.0587037	0.20581	0.12668	0.0319915
900	-13248.9	-13138.2	-110.68	0.177268	0.0224095	1.49669	0.011082	0.122938	0.0658029	0.0138818	0.0468462	0.0101234	0.0969488	0.0422918	0.22222	0.00966456	0.451909	0.0321624	0.0241609	0.414026	0.0680771	0.00225083	0.0688095	0.507611	3.42133	0.370465	0.358913	0.0565257	0.214097	0.622228	0.200504
910	-13252.3	-13137.5	-114.829	0.527565	0.0236821	1.49669	0.0775947	0.153237	0.232046	0.285894	0.127736	0.0110093	0.0882303	0.101924	0.00824891	0.0174439	0.412763	0.0233273	0.0273904	0.467225	0.0518505	0.000990695	0.0459545	0.433459	3.5196	0.380045	0.34871	0.063171	0.208074	0.389691	0.0827432
920	-13244.2	-13133.2	-110.975	0.761981	0.0237838	1.18482	0.10366	0.0406772	0.128889	0.19485	0.0337498	0.0134341	0.0882303	0.0190309	0.12601	0.0101294	0.408784	0.0292695	0.0314693	0.456653	0.0636951	0.0012844	0.0522278	0.455838	3.49065	0.359956	0.371763	0.0555059	0.212776	0.205717	0.0323025
930	-13248.1	-13133.9	-114.218	0.310872	0.0185589	1.2121	0.0241935	0.161185	0.0642172	0.0753641	0.101919	0.447214	0.0882303	0.00417567	0.0934368	0.0113361	0.456539	0.0322766	0.0291859	0.416946	0.0537161	0.00120818	0.0506775	0.450476	3.49764	0.381483	0.357543	0.0572449	0.203729	0.611921	0.0772073
940	-13256.9	-13146.3	-110.629	0.375574	0.019325	1.2121	0.0963359	0.0199677	0.0663533	0.254513	0.132029	0.0363152	0.0547855	0.0365746	0.107267	0.0123197	0.380251	0.0265607	0.0266276	0.497406	0.0568354	0.0014851	0.056097	0.468784	3.47363	0.372166	0.359871	0.0568949	0.211068	0.121329	0.503097
950	-13252.4	-13140	-112.446	0.71487	0.0380059	2.31804	0.0100389	0.0221009	0.0232012	0.205262	0.348696	0.0879395	0.0307225	0.0522317	0.0154047	0.0148671	0.384684	0.0262848	0.0382657	0.481295	0.0546032	0.00121799	0.0508799	0.451182	3.49672	0.373539	0.363553	0.0547571	0.208152	0.19428	0.0908497
960	-13254.7	-13137.9	-116.819	0.78168	0.0287919	1.70879	0.108705	0.0198659	0.0045331	0.381506	0.140965	0.0111249	0.0906524	0.261925	0.147369	0.0109605	0.441573	0.0193805	0.023621	0.42878	0.0756851	0.000595861	0.0357501	0.392432	3.57122	0.363728	0.367884	0.059026	0.209362	0.0480638	0.170256
970	-13251.9	-13135.2	-116.718	0.565255	0.0341028	1.70879	0.108705	0.148812	0.0367949	0.328865	0.0301167	0.0832233	0.213026	0.420884	0.0565791	0.00777376	0.486041	0.021251	0.026789	0.398387	0.0597581	0.000904581	0.0439384	0.425852	3.5293	0.349258	0.378217	0.0567397	0.215785	0.390808	0.0439367
980	-13247.2	-13137	-110.202	0.678985	0.0125818	0.694837	0.0410546	0.0238878	0.0783792	0.342128	0.000468436	0.0832233	0.0979493	0.158884	0.0438645	0.00650368	0.432771	0.0366742	0.0360677	0.446793	0.0411898	0.000986001	0.0458469	0.433059	3.52011	0.363499	0.374197	0.055237	0.207067	0.110102	0.210913
990	-13239.2	-13133.1	-106.105	0.696391	0.012632	0.681278	0.012069	0.0202372	0.0230958	0.179993	0.0504021	0.0634929	0.0716471	0.024968	0.0557219	0.00783921	0.438733	0.030498	0.0361171	0.42448	0.0623319	0.00122677	0.0510603	0.45181	3.4959	0.366347	0.367852	0.0561206	0.20968	0.213464	0.0901455
1000	-13240.8	-13131.9	-108.985	0.648151	0.0167679	1.017	0.00703479	0.0129684	0.0724758	0.293144	0.0239475	0.0766347	0.218845	0.0410072	0.0570862	0.00981709	0.404615	0.0322793	0.0419549	0.473323	0.0380114	0.00116513	0.0497797	0.447322	3.50173	0.37353	0.359905	0.0634168	0.203148	0.223201	0.128648
1010	-13244.8	-13135	-109.788	0.701212	0.0241519	1.53053	0.0617877	0.07918	0.0126395	0.0501072	0.236811	0.226516	0.0205086	0.130776	0.0954494	0.00995353	0.382883	0.0289013	0.0283482	0.492986	0.056928	0.0011788	0.0500665	0.448334	3.50042	0.37187	0.358536	0.0612427	0.208351	0.183808	0.11498
1020	-13246.8	-13139.9	-106.9	0.152091	0.0222749	1.44226	0.0590156	0.07918	0.0758535	0.128467	0.00508207	0.0903231	0.0107758	0.159383	0.0260932	0.00877879	0.392476	0.0340309	0.0201021	0.472635	0.0719774	0.00169525	0.0598693	0.480859	3.45758	0.367694	0.360005	0.0597306	0.212571	0.391351	0.456558
1030	-13247.5	-13135.7	-111.827	0.73034	0.0347728	2.19985	0.046965	0.072734	0.176787	0.163009	0.110916	0.0725219	0.0187173	0.081786	0.229368	0.0111745	0.4177	0.027656	0.0248988	0.448514	0.0700564	0.0015179	0.0567031	0.470759	3.47102	0.377396	0.349359	0.059714	0.21353	0.137953	0.131707
1040	-13248.9	-13136.7	-112.254	0.447001	0.0400212	2.27099	0.046965	0.00085691	0.0512839	0.332558	0.0221532	0.250352	0.0397356	0.0520679	0.137948	0.00835794	0.424222	0.0228885	0.0273112	0.446428	0.0707921	0.00138744	0.0542503	0.46268	3.48168	0.372015	0.36462	0.0562404	0.207125	0.452153	0.100846
1050	-13248.8	-13133.5	-115.253	0.588668	0.0160449	0.86917	0.0681185	0.116277	0.0855373	0.382307	0.0655625	0.218938	0.188927	0.278404	0.137948	0.00888877	0.437898	0.0276526	0.031769	0.432767	0.0610247	0.00107771	0.0479024	0.440608	3.51041	0.358267	0.368242	0.0578029	0.215688	0.380669	0.0306631
1060	-13244.9	-13139	-105.947	0.261896	0.0239137	1.31724	0.0759684	0.116277	0.020212	0.129077	0.0357007	0.00850545	0.133326	0.0437976	0.0078357	0.0108997	0.430367	0.0254815	0.0191218	0.451628	0.0625025	0.00104799	0.0472465	0.438222	3.51348	0.361112	0.366789	0.0528376	0.219261	0.528922	0.209183
1070	-13248.8	-13136.4	-112.358	0.691755	0.0140699	0.979598	0.0407081	0.394955	0.0357796	0.599694	0.0417419	0.100051	0.00701872	0.0677147	0.0350302	0.0142044	0.361243	0.0352547	0.0246203	0.483522	0.0811548	0.00240792	0.0711233	0.514158	3.41231	0.369961	0.359651	0.0652107	0.205176	0.235907	0.0723375
1080	-13243.7	-13135.1	-108.603	0.674413	0.0176692	0.979598	0.0691738	0.115645	0.0416959	0.419387	0.00546787	0.0186428	0.204032	0.0677147	0.0217892	0.0161897	0.361451	0.0319973	0.0162398	0.519278	0.0548442	0.00185679	0.0626075	0.489316	3.44622	0.367494	0.362392	0.0633689	0.206745	0.144364	0.181223
1090	-13247.9	-13138.8	-109.141	0.675907	0.0144481	0.979598	0.0142756	0.248793	0.00801447	0.0297735	0.156409	0.412877	0.0283939	0.0187925	0.0833715	0.0149497	0.396679	0.0376861	0.0326005	0.485249	0.0328361	0.00190898	0.0634658	0.491917	3.44271	0.36529	0.361482	0.0608271	0.212401	0.0849292	0.239164
1100	-13240.9	-13136.4	-104.484	0.540181	0.0157385	0.912988	0.0338279	0.00362238	0.0195452	0.124928	0.0077911	0.0495629	0.169366	0.0118845	0.0443747	0.0111927	0.401567	0.0252351	0.0323293	0.449979	0.0796972	0.00109814	0.0483478	0.442216	3.50834	0.35265	0.372465	0.0612249	0.21366	0.175287	0.284532
1110	-13238	-13133.9	-104.146	0.522839	0.0244031	1.40635	0.0449928	0.00246347	0.0195452	0.0726516	0.0120743	0.0495629	0.0182305	0.0029242	0.0701806	0.0122768	0.425449	0.0206783	0.0190469	0.449969	0.0725792	0.0013583	0.0536863	0.460789	3.48417	0.364503	0.369999	0.0569114	0.208587	0.194903	0.282258
1120	-13248.3	-13133.2	-115.143	0.397412	0.0217387	1.40635	0.0717253	0.0891998	0.0152349	0.354845	0.0663337	0.244916	0.0176654	0.117127	0.18599	0.010092	0.45719	0.0280892	0.0206298	0.411417	0.0725815	0.00125555	0.0516467	0.45384	3.49326	0.360192	0.369972	0.0575408	0.212295	0.292606	0.309982
1130	-13245.1	-13136.4	-108.655	0.806567	0.0272988	1.70968	0.0181303	0.0474828	0.0539563	0.189686	0.0043781	0.0616565	0.0545743	0.0512767	0.00394196	0.00774033	0.430087	0.0262839	0.0399743	0.443388	0.0525256	0.00110625	0.0485236	0.442848	3.50752	0.377636	0.358247	0.0576044	0.206512	0.161731	0.0317025
1140	-13252.7	-13140.2	-112.506	0.713941	0.0296495	2.00272	0.0728751	0.445749	0.150293	0.143136	0.0346192	0.0190682	0.0545743	0.0260117	0.000846594	0.011783	0.411091	0.0251894	0.0348807	0.448292	0.0687634	0.00161148	0.0583962	0.476205	3.46379	0.36973	0.363054	0.0582803	0.208935	0.259743	0.0263161
1150	-13249.9	-13138.1	-111.85	0.288744	0.0122777	0.863844	0.0728751	0.0274372	0.0883371	0.173688	0.0205701	0.0282618	0.0545743	0.456716	0.069041	0.0104125	0.457778	0.0259308	0.0257234	0.399386	0.0807697	0.00190935	0.0634717	0.491935	3.44268	0.374701	0.359724	0.0599311	0.205644	0.466652	0.244604
1160	-13244.4	-13135.5	-108.897	0.210758	0.0444726	2.92993	0.0728751	0.0514341	0.0325534	0.173068	0.0573807	0.00474777	0.0842529	0.012884	0.135139	0.00936985	0.424084	0.0261847	0.0357556	0.444928	0.0596773	0.00075976	0.040312	0.411588	3.54734	0.371523	0.356882	0.0569107	0.214684	0.457474	0.331768
1170	-13251.3	-13138.1	-113.204	0.234888	0.0357129	2.29153	0.135508	0.0514341	0.0242298	0.206387	0.101834	0.0326332	0.196044	0.0701426	0.000537558	0.00789998	0.436984	0.0247125	0.0291379	0.426035	0.0752306	0.000896843	0.0437524	0.42514	3.53021	0.360148	0.374429	0.0555827	0.20984	0.247352	0.51776
1180	-13248.2	-13130.2	-118.094	0.476181	0.040991	2.70733	0.276886	0.0621793	0.0430894	0.579988	0.0287264	0.0346281	0.278067	0.181381	0.0955014	0.0109723	0.49363	0.021813	0.0266617	0.377467	0.0694564	0.00114711	0.0493988	0.445974	3.50348	0.354182	0.371514	0.0568954	0.217409	0.440643	0.0831759
1190	-13246.7	-13137.8	-108.958	0.60588	0.0367178	2.70733	0.0201251	0.0626156	0.0233019	0.096149	0.00275036	0.134955	0.0576539	0.0874394	0.0221752	0.00958204	0.491187	0.0291062	0.0317259	0.370023	0.0683764	0.00148625	0.0561183	0.468854	3.47354	0.352077	0.371976	0.0574321	0.218515	0.336436	0.0576841
1200	-13238.1	-13133.8	-104.375	0.440567	0.0109441	0.814136	0.00181234	0.11098	0.0283731	0.169229	0.00590273	0.0669898	0.00592242	0.0915723	0.0244859	0.0162152	0.413441	0.0278764	0.027795	0.447888	0.0667843	0.00165073	0.0590912	0.47841	3.46085	0.363725	0.366683	0.060099	0.209493	0.263819	0.295615
1210	-13246.4	-13137.3	-109.144	0.494666	0.0370422	2.25652	0.030784	0.213924	0.141232	0.1831	0.0175771	0.158667	0.00592242	0.0103487	0.0496177	0.0116688	0.353579	0.0311529	0.0229636	0.510964	0.0696718	0.00150749	0.0565115	0.470136	3.47184	0.37865	0.360968	0.0653213	0.195061	0.369991	0.135344
1220	-13246.4	-13132.8	-113.56	0.466536	0.0186848	1.16854	0.197574	0.0735651	0.0892902	0.386029	0.00296117	0.0233701	0.301159	0.269434	0.0370125	0.0117086	0.371287	0.0263495	0.021243	0.50881	0.0606016	0.00154545	0.057207	0.472391	3.46886	0.376027	0.352911	0.0623338	0.208728	0.506627	0.0268378
1230	-13246.1	-13137.9	-108.172	0.511158	0.0206869	1.19221	0.0195132	0.0288545	0.0644872	0.0638752	0.0411234	0.098986	0.0634065	0.0536777	0.101116	0.0100223	0.402403	0.023111	0.0287888	0.465777	0.069898	0.0010262	0.0467595	0.436436	3.51578	0.378049	0.363053	0.0538465	0.205052	0.347124	0.141719
1240	-13240.7	-13132	-108.67	0.707892	0.0371119	1.95066	0.227968	0.00847728	0.100925	0.232564	0.0411234	0.0731514	0.0111845	0.0250396	0.0434742	0.0104789	0.395347	0.026568	0.0224048	0.486362	0.0588398	0.000875019	0.0432237	0.423103	3.5328	0.356997	0.377304	0.0591169	0.206582	0.275523	0.0165848
1250	-13243.8	-13138.9	-104.916	0.587753	0.00923896	0.611437	0.0037293	0.0533815	0.129858	0.164395	0.00624467	0.0415244	0.0146856	0.110617	0.0436294	0.00868703	0.442894	0.031275	0.0446274	0.413132	0.0593843	0.00126805	0.0518994	0.454711	3.49212	0.357243	0.375016	0.0545178	0.213224	0.344747	0.0675004
1260	-13242.7	-13137.1	-105.59	0.339921	0.0357013	1.88672	0.0215024	0.0771315	0.0721157	0.121774	0.0123704	0.202824	0.0336936	0.0133928	0.0366472	0.0115371	0.4584	0.021871	0.0403366	0.4054	0.0624551	0.00129285	0.0523968	0.456416	3.48989	0.357681	0.365853	0.0607644	0.215702	0.540525	0.119554
1270	-13242.6	-13135.1	-107.539	0.182431	0.0315151	1.88672	0.0981129	0.137547	0.00665994	0.00859931	0.18001	0.0279379	0.0336936	0.0115699	0.201223	0.0101484	0.4154	0.0272366	0.0267434	0.442919	0.0775523	0.00109526	0.0482854	0.441991	3.50863	0.391854	0.346197	0.0583914	0.203558	0.614871	0.202698
1280	-13241.8	-13134.3	-107.478	0.38923	0.0326477	1.9433	0.0658357	0.137547	0.0815915	0.111325	0.040848	0.0495245	0.0670425	0.0463174	0.0376969	0.0127381	0.454225	0.0242988	0.0306013	0.423152	0.0549842	0.00172003	0.0602978	0.482199	3.45578	0.349085	0.381061	0.0609861	0.208868	0.429409	0.18136
1290	-13241.2	-13134.9	-106.27	0.019166	0.0131006	0.843892	0.0286823	0.00491959	0.0531808	0.107595	0.146814	0.0337894	0.00168114	0.0352497	0.266013	0.0169936	0.390874	0.0287143	0.0256782	0.490094	0.0476464	0.00110698	0.0485393	0.442905	3.50745	0.364028	0.35908	0.0624191	0.214473	0.553647	0.427187
1300	-13245.3	-13133.6	-111.715	0.57263	0.0197207	1.07656	0.0106391	0.13666	0.00405131	0.382108	0.0157349	0.148756	0.193871	0.0408793	0.266013	0.00968743	0.368667	0.0345226	0.0233615	0.523252	0.0405092	0.00153722	0.0570569	0.471906	3.4695	0.35737	0.370778	0.060374	0.211478	0.353389	0.0739804
1310	-13252.5	-13139.4	-113.121	0.581211	0.0178389	1.01063	0.000366152	0.506731	0.116811	0.648835	0.00413492	0.00303932	0.0874427	0.0160874	0.0641531	0.0136163	0.361712	0.0250812	0.0187209	0.533256	0.0476133	0.000983226	0.0457833	0.432822	3.52041	0.389348	0.336738	0.0651007	0.208813	0.0632268	0.355562
1320	-13237.9	-13130.7	-107.187	0.369897	0.037317	2.09879	0.0106161	0.0539568	0.0516314	0.166054	0.0166759	0.0915905	0.0725745	0.0839322	0.141768	0.0100767	0.455808	0.021907	0.033939	0.419125	0.0591436	0.000905218	0.0439536	0.425911	3.52923	0.362902	0.365089	0.0560838	0.215925	0.318932	0.311171
1330	-13243.1	-13136.9	-106.208	0.624687	0.00602443	0.344357	0.143675	0.0336067	0.048696	0.147987	0.0239418	0.027788	0.151507	0.0778398	0.0845911	0.0110485	0.43577	0.022948	0.0284253	0.420351	0.0814568	0.0014245	0.0549588	0.465037	3.47858	0.384452	0.359759	0.05564	0.20015	0.082974	0.292339
1340	-13237.1	-13130.6	-106.493	0.296526	0.0241714	1.23183	0.0262605	0.0372536	0.124214	0.0900205	0.0142853	0.343335	0.0447128	0.0151005	0.0200946	0.0100145	0.397346	0.0248435	0.0293068	0.479318	0.0591717	0.0011889	0.0502775	0.449075	3.49946	0.381582	0.361282	0.0577206	0.199415	0.233615	0.46986
1350	-13248.2	-13137.7	-110.535	0.450125	0.0427857	2.87446	0.0119061	0.0273802	0.00126411	0.0583858	0.282093	0.0395301	0.0482987	0.000542007	0.0583304	0.0136809	0.421579	0.0298826	0.0236926	0.44756	0.063605	0.00109623	0.0483065	0.442067	3.50853	0.372781	0.36462	0.061489	0.201109	0.000286013	0.549589
1360	-13243.2	-13135.6	-107.579	0.38355	0.00696082	0.388757	0.0866926	0.0273802	0.0488785	0.087519	0.295828	0.0499704	0.0246542	0.158252	0.153729	0.0120443	0.38296	0.0221254	0.0271565	0.495114	0.0605995	0.00115989	0.0496693	0.446932	3.50224	0.386884	0.348555	0.0599067	0.204654	0.105931	0.510519
1370	-13244.7	-13138.4	-106.311	0.683071	0.033166	1.80183	0.0293613	0.0217618	0.0754804	0.040921	0.0055744	0.0672872	0.0440245	0.0248413	0.0505833	0.0114541	0.374396	0.0210412	0.026711	0.500285	0.0661121	0.00123802	0.0512903	0.452608	3.49486	0.391213	0.349527	0.0567471	0.202512	0.149767	0.167162
1380	-13240.3	-13134	-106.271	0.325442	0.0111957	0.659785	0.0293613	0.000848014	0.0976659	0.312312	0.0955021	0.0207803	0.0440245	0.0275315	0.00365731	0.0105466	0.442004	0.0281662	0.0240847	0.43755	0.0576483	0.00137191	0.0539505	0.461676	3.483	0.357646	0.366562	0.0577716	0.21802	0.0957289	0.578829
1390	-13242.3	-13133.4	-108.895	0.784497	0.0268307	1.37867	0.171047	0.00899004	0.0199656	0.193292	0.0925258	0.0193748	0.268578	0.0267429	0.07446	0.00894392	0.416891	0.0298094	0.0268171	0.465907	0.0516316	0.00105129	0.0473197	0.438489	3.51314	0.354808	0.381642	0.0569399	0.20661	0.11904	0.0964629
1400	-13241.1	-13132.7	-108.415	0.296207	0.024714	1.37867	0.122814	0.123826	0.00761083	0.247291	0.139635	0.0151429	0.0190329	0.0365305	0.0916516	0.00864939	0.411926	0.0277338	0.0276592	0.460645	0.0633872	0.00134183	0.0533651	0.459706	3.48559	0.365061	0.367888	0.0550247	0.212026	0.44531	0.258483
1410	-13242.4	-13134.3	-108.067	0.603527	0.0284318	1.37867	0.0538014	0.0662813	0.00419281	0.075509	0.0390634	0.0212383	0.00501414	0.0896927	0.130549	0.00687909	0.418576	0.0243979	0.0319422	0.454774	0.0634308	0.000818595	0.0418246	0.417633	3.53972	0.368754	0.365609	0.0567365	0.2089	0.389507	0.0069662
1420	-13251.5	-13142.1	-109.369	0.602972	0.0301907	1.37867	0.0373732	0.0778573	0.243788	0.1547	0.0580091	0.226899	0.0612744	0.117489	0.0617591	0.00591476	0.385342	0.0251067	0.0377826	0.499576	0.0462777	0.000676664	0.0380698	0.402355	3.5589	0.385562	0.354632	0.058673	0.201133	0.341235	0.0557935
1430	-13249	-13140.5	-108.437	0.449608	0.0124393	0.648888	0.0184583	0.0177551	0.0721104	0.568821	0.0243458	0.00815128	0.125771	0.044046	0.118627	0.00824501	0.430004	0.0244613	0.0504584	0.458586	0.0282455	0.00126333	0.0518042	0.454383	3.49255	0.378466	0.35605	0.0605768	0.204907	0.298973	0.251419
1440	-13254.5	-13146	-108.478	0.327508	0.037721	1.76692	0.241633	0.150092	0.00579417	0.220301	0.0824806	0.0902524	0.0792956	0.0296816	0.0337999	0.00635582	0.403488	0.0188564	0.0385654	0.460156	0.0725783	0.000881732	0.0433871	0.423734	3.532	0.385231	0.363989	0.0568492	0.193932	0.186064	0.486428
