Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	clock_scale_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	er_mol[1]	er_mol[2]	er_mol[3]	er_mol[4]	er_mol[5]	er_mol[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_mol[1]	pi_mol[2]	pi_mol[3]	pi_mol[4]	subset_sympatry	widespread_sympatry
170	-13233.4	-13129.2	-104.214	0.458188	0.0170308	1.16178	0.00637175	0.0148156	0.0654325	0.177809	0.00235112	0.0594025	0.0323966	0.0215918	0.0828987	0.0134843	0.412981	0.0270285	0.0251676	0.461078	0.0602602	0.00183891	0.0623108	0.488411	3.44744	0.374359	0.352867	0.0634617	0.209312	0.455426	0.0863854
180	-13239.8	-13132.5	-107.296	0.660602	0.0227098	1.46	0.053664	0.0173309	0.0221309	0.234642	0.0988444	0.0379912	0.0183601	0.212416	0.0828987	0.0152188	0.398898	0.0275443	0.0238232	0.477629	0.0568865	0.00254298	0.073051	0.519505	3.4049	0.380295	0.35886	0.0628205	0.198025	0.19614	0.143258
190	-13240.5	-13131.1	-109.458	0.546048	0.0164427	1.02264	0.151794	0.0027868	0.0197743	0.228115	0.108796	0.134032	0.0714878	0.0644948	0.182993	0.0125323	0.423047	0.0274325	0.0299292	0.453498	0.0535604	0.0020067	0.0650405	0.496629	3.43632	0.375826	0.35635	0.0639026	0.203922	0.144678	0.309274
200	-13241.1	-13136.1	-105.006	0.60797	0.017095	1.09967	0.0570856	0.0714225	0.00776439	0.298993	0.00465788	0.0863609	0.0164569	0.0119132	0.0255218	0.0120927	0.379307	0.0432711	0.0307465	0.501277	0.0333055	0.0025391	0.0729963	0.519354	3.40511	0.345467	0.376791	0.0641578	0.213584	0.309435	0.082595
210	-13247.3	-13139.7	-107.577	0.483789	0.01968	1.09967	0.0912954	0.120204	0.0183437	0.319367	0.0325361	0.0180093	0.0119539	0.0279276	0.220852	0.00549993	0.370089	0.0357302	0.0321369	0.493291	0.0632524	0.00106482	0.0476191	0.43958	3.51174	0.373842	0.364365	0.0601452	0.201649	0.270265	0.245946
220	-13246.2	-13140.3	-105.95	0.287903	0.0202138	1.13496	0.139287	0.0501874	0.0213013	0.0575642	0.0599578	0.0642217	0.0106047	0.0240094	0.00134573	0.00649405	0.350813	0.0329236	0.0350851	0.530411	0.0442725	0.00215018	0.0672826	0.503211	3.42736	0.389078	0.357306	0.0586723	0.194944	0.455204	0.256893
230	-13252.4	-13145.5	-106.876	0.479418	0.0198455	1.13496	0.0377597	0.0496498	0.032049	0.0198538	0.204179	0.0582239	0.00410209	0.115269	0.00615634	0.00582089	0.359003	0.029766	0.041928	0.48226	0.0812226	0.0010271	0.0467797	0.436511	3.51568	0.366466	0.365731	0.0583845	0.209419	0.464206	0.0563756
240	-13240.6	-13133.5	-107.153	0.668799	0.0199891	1.32688	0.00779127	0.119792	0.0192669	0.118221	0.000942585	0.0582239	0.0062053	0.0705829	0.179426	0.00730026	0.403667	0.0313477	0.0284463	0.438486	0.0907531	0.00198806	0.0647433	0.495746	3.43752	0.374653	0.360645	0.0573863	0.207316	0.31253	0.0186717
250	-13241	-13134.6	-106.402	0.664127	0.0435773	2.41203	0.00229778	0.040946	0.0192669	0.121087	0.158023	0.0283814	0.0463393	0.0406128	0.0778916	0.00898127	0.408069	0.0244857	0.0327068	0.475833	0.0499249	0.000923086	0.0443796	0.427536	3.52716	0.380955	0.352019	0.0583675	0.208658	0.132211	0.203661
260	-13241.4	-13134.3	-107.042	0.598227	0.0235315	1.36608	0.091818	0.0410717	0.136654	0.150727	0.0494131	0.0513329	0.0482762	0.0242881	0.121731	0.0109421	0.443868	0.0229901	0.0259571	0.425358	0.0708852	0.00129129	0.0523657	0.45631	3.49003	0.368321	0.362375	0.0531685	0.216136	0.390505	0.011268
270	-13243.5	-13133	-110.484	0.501267	0.0366125	2.37728	0.068663	0.0146259	0.00615643	0.210862	0.0415037	0.127595	0.236168	0.126748	0.0496502	0.0146419	0.388689	0.0333042	0.0281367	0.48423	0.050998	0.00180251	0.0617017	0.486546	3.44995	0.364671	0.367432	0.0591711	0.208725	0.200883	0.29785
280	-13249.3	-13139.5	-109.766	0.661955	0.0358706	2.37728	0.068663	0.0254469	0.291287	0.135287	0.0221087	0.00676163	0.0241083	0.126748	0.0984222	0.00954991	0.430699	0.0306465	0.0388255	0.428281	0.0619974	0.00221855	0.0683237	0.506218	3.42324	0.37514	0.362213	0.0573565	0.20529	0.223854	0.114191
290	-13252.7	-13139.3	-113.325	0.267068	0.0326616	2.37728	0.288904	0.120939	0.0317915	0.313711	0.0314864	0.0395287	0.0910973	0.0366681	0.063013	0.0118905	0.373041	0.0370644	0.0170834	0.483456	0.0774648	0.00171724	0.0602497	0.482049	3.45598	0.369037	0.358504	0.0661635	0.206296	0.419015	0.313917
300	-13249.3	-13139.1	-110.146	0.387763	0.0317055	1.78279	0.0417862	0.0518121	0.102808	0.211943	0.230398	0.0517499	0.00827538	0.128669	0.063013	0.00853701	0.406502	0.029403	0.0263464	0.473709	0.0555017	0.000929582	0.0445334	0.42812	3.52642	0.37798	0.354102	0.0700773	0.197841	0.308321	0.303916
310	-13240.8	-13133.8	-106.935	0.382868	0.020435	1.06859	0.0161044	0.0352996	0.00825968	0.459225	0.0385159	0.0247198	0.0550504	0.0231352	0.130753	0.00850621	0.380999	0.0335701	0.0323207	0.504242	0.040362	0.0016527	0.059126	0.47852	3.4607	0.37116	0.357945	0.0642242	0.206671	0.418389	0.198743
320	-13242.2	-13130.9	-111.367	0.505163	0.0167489	1.04804	0.431606	0.0146673	0.032382	0.0851344	0.000165909	0.518975	0.0153983	0.0076042	0.0988346	0.0119475	0.378446	0.0298819	0.0223349	0.48658	0.0708095	0.00155978	0.0574673	0.47323	3.46774	0.373215	0.364266	0.0613497	0.20117	0.310883	0.183954
330	-13250	-13135.7	-114.348	0.568513	0.0230625	1.31275	0.0813925	0.00029864	0.208964	0.0591874	0.180886	0.518975	0.183752	0.0336535	0.136337	0.00943523	0.389009	0.0257914	0.0419639	0.476145	0.057655	0.00146599	0.0557406	0.467617	3.47518	0.364686	0.365148	0.0540925	0.216073	0.274062	0.157425
340	-13245	-13133.7	-111.347	0.580632	0.0268199	1.71088	0.017964	0.144778	0.17299	0.373063	0.153445	0.0762803	0.00609276	0.0338282	0.130533	0.0113989	0.422499	0.0259458	0.0335979	0.442263	0.0642949	0.00147377	0.055886	0.468094	3.47455	0.356426	0.368277	0.0627986	0.212498	0.186055	0.233313
350	-13250.1	-13137.3	-112.732	0.524522	0.0490597	2.66034	0.0536109	0.236533	0.0961191	0.0218574	0.171971	0.196136	0.0909415	0.146907	0.103104	0.00884752	0.373019	0.0245286	0.0230278	0.504479	0.0660986	0.00105745	0.0474562	0.438987	3.5125	0.386082	0.354246	0.0618179	0.197854	0.389539	0.085939
360	-13251.7	-13139.9	-111.843	0.526248	0.0126055	0.751273	0.631293	0.0811991	0.0392655	0.123091	0.113255	0.0266358	0.130518	0.0613718	0.0290328	0.00874614	0.419804	0.0246317	0.0295496	0.462221	0.0550479	0.00101413	0.0464874	0.435434	3.51706	0.372964	0.351289	0.0642214	0.211525	0.332039	0.141713
370	-13254.8	-13140.9	-113.86	0.346174	0.0128415	0.751273	0.117034	0.0811991	0.294983	0.0191317	0.0381395	0.551739	0.147059	0.0613718	0.108507	0.0088947	0.450907	0.0260243	0.0348538	0.43	0.04932	0.00154581	0.0572136	0.472412	3.46883	0.360773	0.378342	0.0554698	0.205416	0.386147	0.267679
380	-13248.3	-13138.4	-109.957	0.699962	0.0424158	2.5936	0.31626	0.0840801	0.087494	0.180792	0.0186267	0.00414265	0.0317284	0.0167173	0.00205007	0.0116958	0.372589	0.0287548	0.0166917	0.48709	0.0831792	0.00113046	0.049044	0.444711	3.50511	0.360246	0.363795	0.0672685	0.208691	0.178786	0.121252
390	-13243.5	-13133.6	-109.861	0.712051	0.0316539	1.95421	0.126544	0.0840801	0.0717375	0.128035	0.0411589	0.37157	0.0134911	0.0688558	0.0375061	0.00878331	0.438181	0.0247586	0.0302901	0.429034	0.0689528	0.00113741	0.0491925	0.44524	3.50443	0.396645	0.348731	0.059798	0.194826	0.25953	0.0284186
